"name"	"country_code"	"2015"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"WORLD"	900	7383008.82	7865018.659	8367547.932	8875432.903	9364490.721	9847129.01099999	10339587.097	10849107.46	11371996.809	11899382.361	12428951.732	12965645.028	13517141.317	14088280.438	14679150.158	15285550.227	15901239.679	16521244.912
"More developed regions"	901	1253206.546	1279346.659	1306967.021	1334361.176	1357847.958	1379517.411	1402214.227	1428693.818	1459418.437	1493052.379	1528312.86	1565598.565	1606341.724	1652168.255	1703371.799	1759093.175	1817758.926	1877953.363
"Less developed regions"	902	6129802.274	6585672	7060580.911	7541071.727	8006642.763	8467611.59999999	8937372.87	9420413.642	9912578.37200001	10406329.982	10900638.872	11400046.463	11910799.593	12436112.183	12975778.359	13526457.052	14083480.753	14643291.549
"Least developed countries"	941	956631.108	1083361.426	1226796.995	1384347.453	1551500.053	1729174.869	1918659.309	2120088.697	2332506.434	2553812.575	2782402.542	3017320.404	3258070.5	3503918.417	3753663.431	4005868.047	4259298.218	4512933.182
"Less developed regions, excluding least developed countries"	934	5173171.166	5502310.574	5833783.916	6156724.274	6455142.71	6738436.731	7018713.561	7300324.945	7580071.938	7852517.407	8118236.33	8382726.059	8652729.093	8932193.766	9222114.928	9520589.00500001	9824182.535	10130358.367
"Less developed regions, excluding China"	948	4701441.323	5116440.629	5558502.611	6015625.72	6469067.612	6925579.92699999	7394731.575	7879278.808	8374837.69000001	8873319.763	9371851.053	9872598.419	10380167.255	10897045.179	11422351.829	11952930.136	12485335.828	13018283.375
"High-income countries"	1503	1180060.957	1217325.94	1255110.498	1292955.23	1326169.601	1355618.106	1383923.521	1414400.781	1448297.533	1484813.496	1522619.845	1561518.547	1602479.123	1647225.707	1696597.123	1750466.017	1807623.941	1866630.528
"Middle-income countries"	1517	5558263.979	5906415.51	6261430.705	6609256.894	6933357.681	7244794.98	7556404.89	7872153.602	8188009.086	8497699.162	8801655.401	9105961.279	9417983.674	9741736.13	10077771.001	10423413.453	10774736.775	11129137.516
"Upper-middle-income countries"	1502	2588362.98	2694328.014	2788397.59	2870586.646	2937024.063	2993762.34	3046756.597	3098192.523	3147152.026	3192398.504	3235471.738	3280185.732	3330416.356	3388502.033	3455375.862	3530066.907	3610462.407	3693824.665
"Lower-middle-income countries"	1501	2969900.999	3212087.496	3473033.115	3738670.248	3996333.618	4251032.64	4509648.293	4773961.079	5040857.06	5305300.658	5566183.663	5825775.547	6087567.318	6353234.097	6622395.139	6893346.546	7164274.368	7435312.851
"Low-income countries"	1500	641858.608	738254.694	847769.185	969755.958	1101274.696	1242810.524	1395143.469	1558230.154	1731157.072	1912121.896	2099709.79	2292975.365	2491260.782	2693667.64	2898893.75	3105543.965	3312515.552	3518880.105
"Sub-Saharan Africa"	947	969234.251	1115721.477	1282227.475	1468568.641	1671194.569	1891136.08	2129384.719	2385690.537	2658697.526	2945905.804	3245544.128	3556269.333	3876688.748	4205221.611	4539798.125	4878118.324	5218031.526	5557769.15
"AFRICA"	903	1194369.908	1364033.709	1554240.566	1764647.3	1991687.625	2237098.67	2501763.422	2785082.798	3085299.652	3399668.098	3726503.648	4064578.621	4412648.083	4769265.639	5132378.141	5499519.47	5868185.605	6236333.256
"Eastern Africa"	910	399458.026	461375.021	531404.917	609201.369	692776.44	782402.535	878732.386	981852.59	1091080.527	1205175.471	1323195.352	1444818.408	1569756.417	1697560.505	1827469.116	1958584.266	2090306.073	2222052.278
"Burundi"	108	10199.27	12033.345	14076.618	16311.692	18773.137	21548.388	24668.729	28096.738	31767.866	35645.837	39751.712	44123.903	48753.541	53591.082	58561.438	63641.763	68811.932	74071.534
"Comoros"	174	777.424	876.933	985.028	1100.458	1220.429	1346.085	1478.145	1616.429	1759.742	1906.319	2054.792	2205.24	2356.936	2509.392	2661.638	2812.028	2959.823	3104.511
"Djibouti"	262	927.414	1009.115	1094.273	1179.149	1257.292	1328.055	1392.767	1453.762	1512.304	1567.505	1617.2	1660.714	1699.304	1736.098	1773.704	1813.138	1853.072	1892.109
"Eritrea"	232	4846.976	5480.198	6191.203	6974.836	7819.846	8722.212	9669.563	10651.422	11663.742	12700.927	13755.879	14820.903	15887.607	16953.897	18018.335	19075.995	20121.584	21150.897
"Ethiopia"	231	99873.033	113736.616	128947.423	145099.034	161515.34	178123.996	195054.385	212278.55	229583.014	246654.667	263235.953	279203.406	294574.439	309369.421	323631.444	337322.104	350501.152	363216.455
"Kenya"	404	47236.259	53983.709	61450.945	69613.462	78188.019	87132.228	96459.696	106195.604	116251.633	126475.473	136746.212	146986.873	157139.906	167197.288	177139.36	186886.23	196399.792	205657.146
"Madagascar"	450	24234.088	27940.715	32216.644	36976.12	42053.509	47495.396	53393.752	59785.707	66620.395	73803.223	81285.484	89062.441	97123.812	105450.562	113973.687	122626.614	131379.391	140187.275
"Malawi"	454	17573.607	20462.783	23795.023	27589.377	31712.811	36193.615	41047.983	46254.188	51782.318	57573.73	63571.345	69720.923	75978.525	82311.542	88683.297	95043.241	101368.441	107628.672
"Mauritius"	480	1259.456	1285.657	1313.349	1339.617	1357.035	1364.713	1365.787	1366.312	1371.115	1380.054	1390.212	1399.591	1408.412	1418.758	1432.911	1451.414	1473.619	1499.021
"Mayotte"	175	240.02	275.53	314.362	356.992	402.246	449.564	498.402	548.257	598.964	650.355	701.995	753.575	804.802	855.536	905.59	954.598	1002.358	1048.58
"Mozambique"	508	28010.691	32568.713	37859.188	43888.996	50541.05	57812.489	65720.577	74266.988	83462.755	93247.521	103526.418	114233.476	125307.802	136711.308	148367.786	160175.591	172079.851	183947.197
"R~A(c)union"	638	863.363	903.716	947.424	991.249	1031.354	1066.92	1098.19	1126.536	1153.775	1181.124	1209.348	1239.416	1271.756	1306.071	1341.683	1377.529	1412.998	1448.354
"Rwanda"	646	11629.553	13204.972	14870.95	16645.145	18497.053	20409.445	22349.429	24291.967	26225.691	28135.607	29994.761	31791.39	33513.651	35164.933	36745.026	38248.382	39667.983	41007.307
"Seychelles"	690	93.742	96.914	99.408	101.451	103.22	104.926	106.544	107.887	108.969	109.951	111.105	112.651	114.644	117.034	119.695	122.545	125.444	128.345
"Somalia"	706	13908.129	16224.903	19013.526	22222.145	25797.237	29770.668	34207.182	39142.556	44545.163	50353.638	56521.667	63050.569	69939.253	77153.172	84626.885	92292.315	100072.32	107944.79
