"country_code"	"age"	"name"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
900	0	"WORLD"	0.1469207513	0.1329785371	0.1251108224	0.1041499832	0.0950491211	0.0845149799	0.0744936149	0.0660793114	0.0621880869	0.0563846041	0.0483671909	0.0403337182	0.0338441006	0.0294323233	0.0260096284	0.0230667817	0.0205084699	0.0182415059	0.0162840091	0.0146056578	0.0131605169	0.0119504973	0.0109238889	0.0100060646	0.0092437677	0.0085767993	0.0079826159	0.0074745851	0.007023252	0.0066211661
900	1	"WORLD"	0.0230793643	0.0203642704	0.0189106527	0.0151996296	0.0128446363	0.0114281549	0.0096890884	0.0083552067	0.0078426565	0.0070824779	0.0057195166	0.0043802808	0.0034492632	0.003042762	0.0026931268	0.0023685022	0.0020627294	0.001786837	0.0015517342	0.0013515369	0.0011851704	0.0010517153	0.0009441643	0.0008494862	0.0007739278	0.000708361	0.0006530977	0.0006076512	0.0005675703	0.000530468
900	5	"WORLD"	0.0063129649	0.0055898353	0.0050721507	0.0036159308	0.0031612073	0.0024951213	0.0023896112	0.0022789628	0.0017698554	0.0015803818	0.0015873877	0.0014387531	0.0012150262	0.0010407647	0.0009106088	0.00081094	0.0007244481	0.0006461428	0.0005720903	0.0005019419	0.0004405252	0.0003932122	0.0003564478	0.00032434	0.0002985759	0.0002745472	0.0002538275	0.0002368668	0.0002220077	0.0002085303
900	10	"WORLD"	0.0036224669	0.0031178908	0.0028427887	0.0019280384	0.0016787237	0.0014188526	0.0012207701	0.0011870902	0.0011265879	0.0010021143	0.0009536268	0.0009237449	0.0008455573	0.000755542	0.0006596371	0.0005823052	0.000520007	0.0004665204	0.000420096	0.0003762421	0.000335915	0.0003022385	0.0002750953	0.0002518608	0.0002326303	0.0002152336	0.0002006327	0.0001874367	0.0001757334	0.0001652684
900	15	"WORLD"	0.004302546	0.0036995218	0.0032515431	0.0023759987	0.0019628623	0.0018051963	0.001564376	0.0014709289	0.0014271512	0.0013746133	0.0012455861	0.0011170967	0.0010495677	0.0009744076	0.0008744976	0.0007758938	0.0006920595	0.0006266428	0.0005746828	0.0005260794	0.0004789843	0.0004366887	0.0004005607	0.000369877	0.0003444186	0.0003209442	0.000301757	0.0002835242	0.0002667316	0.0002515017
900	20	"WORLD"	0.0052509729	0.00454382	0.0039816799	0.0030802545	0.0024490958	0.0022465912	0.0019953716	0.001842703	0.0017532153	0.0017551293	0.0017071442	0.0014851561	0.0012968907	0.0012279259	0.0011449749	0.001041914	0.0009345647	0.0008458521	0.0007814283	0.0007245672	0.0006688877	0.0006174236	0.0005700065	0.0005280461	0.0004927571	0.000460997	0.000435422	0.0004109722	0.0003875767	0.0003657987
900	25	"WORLD"	0.0059961532	0.0053161114	0.0047121531	0.0036427469	0.0029079754	0.0024764166	0.0021913424	0.0020374543	0.0019233835	0.0019382292	0.0019890726	0.0018024051	0.0014719695	0.0013181601	0.0012632627	0.001189698	0.0010911929	0.0009911333	0.0009160169	0.0008534609	0.0007963111	0.0007440138	0.0006938427	0.0006460213	0.0006040492	0.0005661228	0.0005358059	0.0005075122	0.0004795644	0.0004531631
900	30	"WORLD"	0.0070194142	0.0060268736	0.0054976319	0.0042493251	0.0033586473	0.002855456	0.0024110872	0.0022345652	0.0021582783	0.0021613137	0.0022059857	0.0020578781	0.0017354125	0.0015058847	0.0013896208	0.0013372357	0.0012611148	0.001163629	0.0010769235	0.0010009433	0.0009367215	0.0008812191	0.0008284721	0.0007763898	0.0007275807	0.0006815112	0.0006435125	0.0006087212	0.0005749849	0.0005428778
900	35	"WORLD"	0.0080517207	0.00728671	0.0063167063	0.0049868967	0.0039439378	0.0033813597	0.002940446	0.002616611	0.0025316418	0.0025606829	0.0025467046	0.0023314829	0.0020307484	0.001863458	0.0017000527	0.0015815829	0.0015232934	0.0014435384	0.0013564757	0.0012646103	0.0011847638	0.0011189628	0.0010593057	0.00100097	0.0009442931	0.000887605	0.0008366853	0.000790207	0.0007463622	0.0007046801
900	40	"WORLD"	0.0093453226	0.0084401661	0.0077666589	0.0059265523	0.0048171744	0.0041225812	0.0037170656	0.0033832839	0.0031695166	0.0031358099	0.003116571	0.0027994218	0.0024236449	0.0022981916	0.0022073846	0.0020367923	0.0019093929	0.0018522658	0.0017844457	0.0016886207	0.0015887606	0.0015013987	0.0014272687	0.0013580723	0.0012915936	0.0012226299	0.0011553843	0.0010902038	0.0010294101	0.0009725881
900	45	"WORLD"	0.0110841609	0.0097682927	0.0093403322	0.0078440802	0.006209389	0.0054729421	0.0050035584	0.0046537095	0.0044223617	0.0041878584	0.0040699947	0.003726538	0.0032279782	0.0030104944	0.0029383808	0.0028401722	0.0026462971	0.0025025337	0.0024540682	0.0023747499	0.0022579611	0.0021342891	0.0020242848	0.0019300764	0.0018439856	0.0017563519	0.0016664296	0.0015736329	0.0014835377	0.0013997618
900	50	"WORLD"	0.0135704224	0.0125174976	0.0116341771	0.0103260953	0.0088976247	0.0076623256	0.0071653403	0.0066817452	0.0064503356	0.0061007271	0.0056937336	0.0052267025	0.004697829	0.0043356382	0.0041244887	0.0040274782	0.0039014271	0.0036652334	0.0034948762	0.0034286137	0.0033178839	0.003156106	0.0029867718	0.0028345327	0.0027080836	0.0025855827	0.0024604817	0.0023286458	0.0021953081	0.0020667413
900	55	"WORLD"	0.0192031219	0.0178573101	0.0165985924	0.0141001919	0.0129074268	0.011622206	0.0106620688	0.0101177449	0.0097457274	0.0092929697	0.0086425428	0.0078112674	0.0071797757	0.0067577292	0.0063410871	0.0060484183	0.0058808524	0.0056971009	0.0053737673	0.0051243261	0.0050027519	0.0048233971	0.0045791834	0.0043205388	0.0040932175	0.0038974592	0.0037036116	0.003506066	0.0033052056	0.0031035511
900	60	"WORLD"	0.0295736684	0.0273972633	0.0253117372	0.0210556884	0.0192218458	0.0176727755	0.0167899559	0.01574932	0.0151866107	0.0144312808	0.0136275004	0.0124569388	0.0114354419	0.0109034328	0.0103207962	0.009763673	0.0093195198	0.009035518	0.0087260756	0.0082606138	0.0078724558	0.0076466951	0.0073685789	0.0069898065	0.0065933299	0.0062355118	0.005917955	0.0056082222	0.0053037784	0.0049937412
900	65	"WORLD"	0.0441111729	0.0414003864	0.0384469939	0.0320954672	0.0297890999	0.0272981455	0.0260680984	0.0252027453	0.0237978827	0.022583765	0.0214682489	0.020117858	0.018717006	0.0175846822	0.0167951617	0.0159576902	0.0152283604	0.0145985587	0.0140254341	0.0135534084	0.0129299097	0.0123708436	0.011994958	0.0115730176	0.0110489854	0.0104881258	0.0099533399	0.0094552239	0.0089854827	0.0085360429
900	70	"WORLD"	0.0669301929	0.0636141836	0.0586677152	0.0505710829	0.0475984926	0.0440268509	0.0417882556	0.0402403247	0.0382293577	0.0362132481	0.0343792567	0.0323071111	0.0302850114	0.0286070507	0.027154742	0.0259363793	0.0248336266	0.023833534	0.0228030778	0.0220136985	0.0212014823	0.0203698677	0.0196714857	0.0190172197	0.0183365303	0.0175999977	0.0168300586	0.0160593776	0.0153322207	0.014663236
900	75	"WORLD"	0.1010428603	0.0971065678	0.0894115076	0.0795734496	0.075606621	0.0703676249	0.0669166524	0.064162809	0.0610947799	0.0582378288	0.0552172427	0.0516833288	0.0486144223	0.0461993085	0.043984543	0.0420692384	0.0402509387	0.0387304899	0.0372010994	0.0358890568	0.0346226465	0.0333495664	0.0322283807	0.0312011259	0.0301755845	0.0290994519	0.0279704151	0.0268483012	0.0257759209	0.0247662333
900	80	"WORLD"	0.1493701815	0.145105823	0.1336378616	0.1227014453	0.1177077662	0.1103259007	0.1051951046	0.1005484287	0.0960228205	0.092137333	0.0873296379	0.0815193446	0.0769899383	0.0736317103	0.0703432435	0.0674064416	0.0644822768	0.0622271668	0.060019374	0.0578887034	0.0559566715	0.0540512271	0.052286269	0.0507049728	0.0491963822	0.0476715125	0.046066088	0.0444866025	0.0429544403	0.0414715878
900	85	"WORLD"	0.2147965189	0.2107830336	0.1946102438	0.1840168586	0.1782136338	0.168370723	0.1611177176	0.1537553441	0.1473885434	0.1423931464	0.1350930209	0.1259857763	0.1195610015	0.1151098901	0.1104111449	0.1060689712	0.1015316731	0.0983038982	0.0952397024	0.0918940875	0.08903967	0.0862795867	0.0835818009	0.0812181148	0.0790734714	0.0770042628	0.0748189679	0.0727001126	0.0706076198	0.0685135214
900	90	"WORLD"	0.297919521	0.294962844	0.2737101897	0.2656389001	0.259585711	0.2474013191	0.2378363628	0.2270712121	0.2186897548	0.2127370186	0.2023621112	0.1889924913	0.1803834588	0.174865055	0.1685138594	0.1624310418	0.1557527441	0.1513667025	0.147346348	0.1423506724	0.1383331441	0.1345242657	0.1305815961	0.1272025822	0.1243028563	0.1216653458	0.1188730023	0.116221865	0.1135449902	0.1107530418
900	95	"WORLD"	0.3962205599	0.3951362201	0.3693886272	0.3662008307	0.360725385	0.3469378458	0.3353456813	0.3210153794	0.31085837	0.304403981	0.290828005	0.2727279717	0.2620047088	0.2557287924	0.2477446888	0.2398099006	0.2306396033	0.2250765632	0.2201809883	0.2132083952	0.2079136749	0.2029906697	0.1975739814	0.1930307962	0.189367231	0.1862821815	0.1830131259	0.1800051409	0.1768787674	0.1734425292
900	100	"WORLD"	0.5113004251	0.5126789391	0.4848786576	0.4884042372	0.4845604829	0.4710027554	0.4587130255	0.4421805592	0.4315293154	0.4256256013	0.4102783478	0.3891402481	0.3776782274	0.3717551612	0.3632071839	0.354397494	0.34363221	0.33767629	0.3327290701	0.3244702095	0.3186052878	0.3132798103	0.3069897931	0.301856174	0.2980523195	0.295231403	0.2922594296	0.2896859457	0.286884298	0.2835548937
901	0	"More developed regions"	0.0556559245	0.0399044321	0.0296798698	0.023506669	0.0189688908	0.016185562	0.0133790115	0.0114886749	0.0093027008	0.0076815752	0.0065077627	0.0055300695	0.0046721907	0.0039459705	0.0034583303	0.0030475994	0.0027149031	0.0024436735	0.0022279495	0.0020409181	0.0018624281	0.0017001378	0.0015573891	0.0014310554	0.0013197201	0.0012208293	0.0011207878	0.001030149	0.0009501576	0.0008768526
901	1	"More developed regions"	0.0046761291	0.0025117662	0.0014331235	0.0010890836	0.0009110435	0.0007976204	0.0007026669	0.0005984734	0.000485769	0.0004041727	0.0003340408	0.0002752373	0.0002300022	0.0002032843	0.0001780891	0.0001572659	0.0001402621	0.0001272707	0.0001169059	0.0001066754	9.70762e-05	8.86385e-05	8.05186e-05	7.40946e-05	6.8921e-05	6.31329e-05	5.87626e-05	5.36265e-05	4.85939e-05	4.56442e-05
