"country_code"	"name"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"
900	"WORLD"	48.5002025994554	50.9889219319042	52.847310475868	57.4078489214407	60.0836334806926	62.4135446096473	64.3585913817709	65.8992408844777	66.9564934826019	68.0362936119072	69.4501910091524	71.3234339236009	73.1123988816179
901	"More developed regions"	67.3240083339101	70.4709920264115	72.4678021732588	73.5981221671492	74.5963973552669	75.6704469560019	76.5396096179145	77.467430235185	77.9913585440774	78.5567316227639	79.3043089309316	80.4282729854055	81.5627316848949
902	"Less developed regions"	42.6822693407014	45.1298690823013	47.2333560731273	52.8380708362291	56.136088951802	58.8681440689692	61.1709671616551	62.9537989186811	64.2931339973102	65.6130337034781	67.1933251960496	69.1665929137738	71.0748104909235
941	"Least developed countries"	37.3902950105009	39.8989377031631	42.1582080296837	44.474687795709	45.4479906530861	47.3440538454604	50.0549460496085	51.9678801734415	52.9725728184934	55.1265286428066	57.6998516630444	61.1753039807502	64.2738042055161
934	"Less developed regions, excluding least developed countries"	43.4787180762281	45.9129233213723	47.9943859390099	54.1363040004721	57.8917120131684	60.8554960748627	63.1484596510256	64.911969066881	66.417953395604	67.6705404298643	69.0929126394695	70.7888458398839	72.4902557836096
948	"Less developed regions, excluding China"	41.5450133669607	44.8194295880771	47.8695348130006	50.8599123627499	53.3904921962472	56.1495100737383	58.5844863490648	60.4107039407565	62.0311443367155	63.5780783403494	65.1587337662681	67.2595533638613	69.4909461547256
1503	"High-income countries"	67.7004372281664	70.0392036882121	71.6664203646305	72.9479290237364	74.3306119947943	75.8670791293468	77.1555166186016	78.2741116205166	79.3150992375443	80.2791098417411	81.2907175152516	82.3096697046471	83.0769775527329
1517	"Middle-income countries"	44.6542990619324	47.2067152308306	49.2369879708005	54.8757135723593	58.0700277600952	60.7399332149078	62.9698768336393	64.6836716290699	65.9492634880682	67.1212088641131	68.5439667491119	70.3366337725303	72.1460338899924
1502	"Upper-middle-income countries"	48.7590014709849	50.6204783590581	51.6366616944068	59.7370939240699	63.9260680296874	66.7943306338853	68.9719415573848	70.5181464341475	71.4852696346584	72.5761521124725	73.8991920441264	75.4110421148216	76.7781548364187
1501	"Lower-middle-income countries"	40.2300216619277	43.5917650650414	46.6343484991837	49.7476243256094	52.1831521318081	55.1251729598123	57.6281131874651	59.3691930101004	61.1995294823574	62.8015524069504	64.4347828281473	66.406769006589	68.4836744045223
1500	"Low-income countries"	36.2288361126993	38.7670602022316	40.8799215113612	43.1015493102094	45.3013639481325	47.2417261239273	48.8364252767801	50.5375776900069	50.9933087216443	52.5197003554701	54.8131200757165	58.6659405700507	62.2621058428478
947	"Sub-Saharan Africa"	37.7445891934876	39.9261080874164	42.1756251781766	44.136739927673	46.3436010994226	48.3515612650743	49.8144999304976	50.8324820111045	50.6713681969208	50.9888014166381	52.1186745080513	55.6578812542697	59.5316996663135
903	"AFRICA"	38.7506752709966	41.2962103245278	43.6979225082636	45.8276702319339	48.0388649927555	50.2531690031023	52.1214244015952	53.4762529439573	53.5593290231416	54.0038076898794	55.1586220442657	58.4336509800705	61.8985783909227
910	"Eastern Africa"	38.4044685305499	40.9011268079535	43.5956889404257	45.6802936680306	47.5368211037012	49.1479960259705	49.8011610406792	50.7185004665773	49.6456488230661	51.4440257737202	53.5439879456327	58.5357558087415	63.3724134776989
108	"Burundi"	40.59	42.09	43.61	45.12	45.83	48.04	49.77	50.91	48.92	52.49	53.69	55.38	58.04
174	"Comoros"	40	42	44	46	48.59	50.76	53.91	56.89	59.4	60.85	61.24	62.51	64.5
262	"Djibouti"	42.38	44.29	46.51	48.68	52.41	54.1	56.24	57.66	58.67	58.71	58.78	60.54	63.24
232	"Eritrea"	35.39	38.09	41.63	43.7	45.88	47.6	49.01	50.21	52.65	55.73	58.79	62.74	65.55
231	"Ethiopia"	35.39	38.09	41.63	43.7	45.06	45.8	45	47.67	49.64	52.21	54.96	60.63	65.5
404	"Kenya"	44.17	46.56	50.18	52.92	55.84	58.35	60.76	60.89	58.53	54.68	54.54	61.29	67.79
450	"Madagascar"	37.36	39.74	42.16	44.49	46.94	49.09	50.74	51.04	53.99	57.91	61.26	63.66	66
454	"Malawi"	36.7	37.7	39	40.15	42.46	44.6	46.66	47.93	48.86	48.64	48.86	55.15	63.07
480	"Mauritius"	51.5	57.62	62.99	65.03	66.29	69.96	71.82	72.52	74.05	74.2	75.45	76.25	77.74
175	"Mayotte"	50.59	56.95	61.51	65.35	68.58	71.33	73.68	75.73	77.53	79.12	80.56	81.87	82.9
508	"Mozambique"	32.5	35.1	37.58	39.65	41.95	43.8	42.98	43.88	45.53	48.96	51.17	55	58.08
638	"Reunion"	50.59	56.95	61.51	65.35	68.58	71.33	73.68	75.73	77.53	79.12	80.56	81.87	82.9
646	"Rwanda"	41.59	43.09	44.6	45.73	46.2	47.3	51.32	49.64	25.57	45.58	51.49	61.48	67.14
690	"Seychelles"	60.13	61.65	65.61	67.54	70.45	72.89	74.46	75.33	75.87	76.37	76.82	77.27	77.91
706	"Somalia"	35.5	37.53	39.52	41.55	43.48	45.37	47.09	47.96	46.53	51.42	53.1	54.8	56.51
728	"South Sudan"	29.36	32.03	34.17	36.33	38.15	40.16	40.89	43.25	46.73	49.49	51.34	53.3	56.03
800	"Uganda"	41.6	44.2	47	49.67	50.66	50.86	50.78	49.46	47.69	47.66	52.06	56.66	60.7
834	"United Republic of Tanzania"	42.93	44.71	46.01	47.52	49.39	51.63	52.39	52.94	51.91	52.07	55.35	60.13	64.78
894	"Zambia"	43.6	45.7	47.6	49.4	51.8	53.21	52.37	49.17	46.1	45.43	48.45	54.67	61.91
716	"Zimbabwe"	50.1	52.2	54.1	55.8	57.5	59.6	62.52	63	57.86	49.75	45.51	49.39	59.02
911	"Middle Africa"	38.4366426949296	39.9538905463553	41.4777503701485	43.2546549604386	45.4487982530885	47.0174931587357	48.6034951946634	49.5266413638419	50.0373539315524	49.641091368165	52.2368027194832	55.9018105915294	59.0549597760759
24	"Angola"	32.8	34	35.6	37.6	39.6	41.6	42.8	43.5	44.5	47	52.5	58.2	63
120	"Cameroon"	39.88	41.79	44.01	46.18	48.95	51.6	53.63	54.35	52.53	50.25	52.34	55.35	57.68
140	"Central African Republic"	34.91	37.06	39.22	41.92	45.87	49.75	51.97	51.84	49.68	46.47	44.86	47.38	51.02
148	"Chad"	38.92	39.74	40.61	41.54	43.83	44.99	46.49	47.71	48.38	48.85	48.54	49.67	52.83
178	"Congo"	44.05	47.97	51.52	54.04	55.55	56.89	58.09	58.2	56.29	53.06	53.1	59.21	64.11
180	"Democratic Republic of the Congo"	40.42	41.91	43	44.36	46.16	47.02	48.53	49.66	51.01	50.32	53.28	56.92	59.53
226	"Equatorial Guinea"	36.01	37.53	39.04	40.56	42.06	43.62	47.18	48.8	51	53.32	54.94	56.21	58.41
266	"Gabon"	38.57	40.59	42.1	46.23	50.35	54.48	58.6	62.23	62.44	61.21	59.79	61.84	65.81
678	"Sao Tome and Principe"	47.96	50.47	53.47	55.98	58.54	61.48	62.43	63.24	64.04	64.82	65.6	67.35	68.19
