"country_code"	"name"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"
8	"Albania"	54.4	58.5	63.7	65.1	65.99	68.28	68.45	69.3	68.91	70.15	72.25	73.16	75.64
70	"Bosnia and Herzegovina"	52.62	56.93	60.15	62.68	65.31	67.24	67.8	69.2	66.16	70.91	72.04	72.87	73.71
191	"Croatia"	59.32	61.25	62.82	63.99	65.23	65.75	66.58	68.15	69.04	70.94	71.36	72.57	73.64
300	"Greece"	63.75	64.84	66.9	67.55	69.17	70	71.36	72.53	74.8	75.36	76.41	77.28	77.96
380	"Italy"	64.61	66.11	66.96	68.05	69.17	70.25	71.55	73.08	74.14	75.61	77.31	78.78	79.87
470	"Malta"	64.47	65.98	67.54	68.96	70.27	71.5	72.66	73.75	74.8	75.79	76.75	77.67	78.55
499	"Montenegro"	58.13	60.73	64.21	66.28	68.01	68.69	70.44	70.97	71.42	70.62	70.62	71.87	73.98
620	"Portugal"	57.6	59.56	61.47	63.15	65.02	66.83	68.96	70.5	71.24	72.35	74.12	75.96	77.34
688	"Serbia"	57.72	59.89	62.58	64.67	66.28	66.88	67.55	68.39	68.82	69.05	69.42	70.59	71.83
705	"Slovenia"	63	65.1	66.1	65.6	66	67	67.11	68.6	69.71	71.3	72.76	75	77.25
724	"Spain"	62.25	65.32	67.29	68.59	69.77	71.34	72.91	73.45	73.99	75.23	76.52	78.06	79.63
807	"TFYR Macedonia"	54.88	58.62	61.59	64.22	66.02	66.8	67.15	68.9	69.45	70.39	71.26	72.12	73.16
926	"Western Europe"	65.2853283865097	66.5405167857785	67.4437304432275	67.8733098474327	68.430341231953	69.4457858192974	70.6175952645969	71.9365767492225	72.9692219163643	74.3319872023767	75.7873441881903	77.2793824603728	78.4376531728492
40	"Austria"	63.81	64.87	66.37	66.67	67.13	68.45	69.55	71.46	72.68	74.22	75.9	77.3	78.37
56	"Belgium"	65.34	66.77	67.37	67.65	68.32	69.4	70.59	71.93	73.04	74.14	75.34	76.79	77.97
250	"France"	64.05	65.91	67.18	67.64	68.55	69.54	70.62	71.9	73.12	74.41	75.78	77.35	78.76
276	"Germany"	65.3	66.3	67.12	67.61	67.89	68.89	70.2	71.59	72.54	74.02	75.59	76.99	77.94
442	"Luxembourg"	63.19	64.59	66	66.55	66.8	67.8	69.34	70.73	72.24	73.6	75.13	76.73	78.76
528	"Netherlands"	70.64	71.24	71.19	71.01	71.2	71.98	72.81	73.46	74.22	75.07	76.24	78.01	79.36
756	"Switzerland"	66.98	68.1	68.68	69.64	70.58	71.85	72.69	73.8	74.5	76.12	77.72	79.29	80.5
904	"LATIN AMERICA AND THE CARIBBEAN"	49.6130789250633	52.4191091223776	54.7949858011963	56.6950486121819	58.6106084317597	60.232187751429	61.8461188183716	63.4673956613719	65.0946091698843	67.1523498288166	68.8043122207244	70.12908349904	71.3796950399755
915	"Caribbean"	50.6485540736171	53.7659277059685	56.7683708019134	59.3852191070121	61.3177586435551	62.5759202740758	63.6124621782734	64.6919299016968	65.3599297135372	66.3899789720482	67.4149962818423	68.6573508093049	69.7546072409439
28	"Antigua and Barbuda"	56.02	58.44	60.48	62.25	63.87	65.36	66.75	68.04	69.26	70.41	71.51	72.56	73.29
533	"Aruba"	59.1	63	64.8	66.4	67.5	68.8	70.5	70.8	71.1	71.2	71.51	72.18	72.86
44	"Bahamas"	58.45	60.05	61.48	62.76	63.92	64.97	65.93	66.81	67.72	68.4	70.04	71.19	72.02
52	"Barbados"	54.72	57.37	59.72	62.2	64.03	65.65	67.08	68.36	69.5	70.53	71.35	72.13	72.91
192	"Cuba"	57.77	60.76	63.81	67	69.43	71.45	72.63	72.82	72.93	74.2	75.29	76.65	77.1
531	"Curacao"	59.08	62.97	64.77	66.36	67.54	69.49	70.87	71.43	71.47	71.11	71.2	72.65	74.5
214	"Dominican Republic"	44.74	48.56	52.14	55.39	58.13	60.27	62.1	64.29	66.47	67.25	68.11	69.18	70.16
308	"Grenada"	54.43	56.9	59.02	60.82	62.36	63.68	64.82	65.82	66.7	67.48	68.52	69.61	70.78
312	"Guadeloupe"	51.53	54.98	58.03	60.76	63.2	65.42	67.46	69.34	71.08	72.72	74.25	75.7	76.83
332	"Haiti"	36.24	39.33	42.21	44.89	46.82	48.58	50.29	52.3	53.83	55.36	56.54	58.21	60.18
388	"Jamaica"	57.11	61.08	64.03	66.04	67.51	69.2	70.35	70.18	69.57	69.42	70.05	71.65	73.07
474	"Martinique"	54.17	57.51	60.57	63.36	65.59	67.61	69.44	71.12	72.68	74.12	75.47	76.7	77.79
630	"Puerto Rico"	61.54	65.5	66.26	67.68	68.96	70.17	70.47	70.57	69.29	70.31	72.69	73.84	75.19
662	"Saint Lucia"	49.59	51.88	55.69	58.33	61.09	64.02	66.52	68.02	69.21	69.26	70.13	71.42	72.17
670	"Saint Vincent and the Grenadines"	49.73	53.09	58.51	61.69	63.6	64.23	66.18	67.28	68.35	68.41	68.28	69.82	70.68
780	"Trinidad and Tobago"	57.13	59.5	62.37	62.85	63.17	64.23	64.54	64.99	65.37	65.02	65.13	65.85	66.87
850	"United States Virgin Islands"	61.23	63.92	65.29	66.8	68.29	69.63	70.68	71.9	72.98	74.07	74.87	75.52	76.68
916	"Central America"	47.4795496406092	51.5038369676144	54.6175151486625	56.6428189500088	58.7404542934261	60.6703358707192	62.7071465762508	65.2272258881964	67.6901632854178	69.9297944702054	71.2516398374309	72.2557631050234	73.1725390083634
84	"Belize"	54.56	57.3	60.06	63.13	65.46	66.92	68.54	69.47	68.24	66.02	65.73	67	67.19
188	"Costa Rica"	54.8	57.42	61.02	63.58	65.74	68.24	70.9	72.52	73.6	74.68	75.5	76.06	76.7
222	"El Salvador"	41.75	45.77	49.32	51.32	52.56	51.82	51.75	56.53	61.6	63.55	64.99	66.44	67.89
320	"Guatemala"	42.64	44.95	47.27	49.96	52.74	54.58	56.36	58.47	60.62	63.38	65.74	67.25	69.22
340	"Honduras"	40.53	43	46.31	49.2	52.1	55.63	59.44	63.24	65.43	67.5	68.61	69.56	70.39
484	"Mexico"	48.92	53.34	56.42	58.16	60.09	62.21	64.44	66.76	69.03	71.26	72.43	73.31	74.04
558	"Nicaragua"	40.89	44.11	47.31	50.51	53.7	55.29	56.46	59	63.53	65.89	67.97	69.76	71.38
591	"Panama"	55.92	58.58	61.07	63.16	65.14	67.17	68.59	69.64	70.83	72.16	73	73.51	74.34
931	"South America"	50.2183613556133	52.5590434994733	54.6083761044571	56.3627666228846	58.2035550377541	59.7872089660141	61.3517045816607	62.7554782222611	64.2008077492472	66.2672555291692	68.0826526983897	69.5747115158904	70.9525919508668
32	"Argentina"	60.42	62.14	62.47	62.75	64.1	65.44	66.82	67.58	68.6	69.65	70.6	71.34	72.15
68	"Bolivia (Plurinational State of)"	38.65	40.07	41.65	43.43	45.38	47.5	49.77	52.2	54.75	57.38	60.05	62.72	65.34
76	"Brazil"	49.1	51.3	53.53	55.49	57.18	58.31	59.55	60.93	62.59	65.11	67.3	69.17	70.99
152	"Chile"	52.65	53.89	55.49	57.81	60.78	64.09	67.2	69.51	71.51	73.01	74.33	75.29	76.15
170	"Colombia"	48.98	53.48	56.23	58.33	59.7	61.76	63.62	64.45	64.53	66.53	68.03	69.21	70.19
218	"Ecuador"	47.41	50.32	53.44	55.38	57.37	59.87	62.54	65.37	67.62	69.21	70.65	71.73	72.82
254	"French Guiana"	50.32	53	56.35	61.36	62.5	63.07	66	68.2	70	71.5	72.8	74.96	76.1
328	"Guyana"	56.18	57.25	58.22	59.15	59.5	59.62	59.74	59.73	60.46	61.57	62.58	63.37	64.03
600	"Paraguay"	60.68	61.27	62.46	63.07	63.78	64.36	64.9	65.4	66.3	67.2	68.7	69.7	70.7
604	"Peru"	42.86	45.11	47.81	50.06	53.87	56.68	59.45	61.99	64.4	66.79	69	70.5	71.54
740	"Suriname"	54.41	56.99	58.69	60.48	61.68	62.77	63.63	63.97	64.43	64.57	64.77	66.42	67.81
858	"Uruguay"	63.28	64.2	65.38	65.5	65.62	66.31	67.61	68.58	69.22	70.45	71.63	72.51	73.25
862	"Venezuela (Bolivarian Republic of)"	53.52	56.28	59.01	61.2	63.17	64.63	65.9	66.75	67.45	68.15	68.81	69.37	69.93
905	"NORTHERN AMERICA"	65.9100569955326	66.6605515047045	66.9402784988008	66.9530321798919	67.8556253313219	69.6101532517114	70.926750379142	71.5780020926736	72.4653758802042	73.7652605972429	74.7946246051554	75.9194579041333	76.7916546651426
124	"Canada"	66.76	67.71	68.48	69	69.63	70.8	72.46	73.56	74.64	75.77	77.18	78.44	79.69
840	"United States of America"	65.86	66.59	66.81	66.77	67.69	69.49	70.77	71.37	72.23	73.55	74.54	75.64	76.47
909	"OCEANIA"	58.967017360131	60.7153933501722	61.5784549219465	62.4097833734199	63.7994068034237	65.5015929463541	67.1664982071891	68.3317277159296	70.0683624098817	71.4053638089149	73.1088623281833	74.6456192227125	75.7008737579386
927	"Australia/New Zealand"	66.8917888248043	67.6688284499598	67.9171251084486	67.7375525473115	68.4935610428697	70.0329798975433	71.5553310254975	72.7586433485107	74.5148641785559	75.8451333453302	77.6378922488424	79.0331962058772	80.0910139743112
36	"Australia"	66.73	67.55	67.8	67.63	68.45	70.17	71.74	73.04	74.72	76.03	77.81	79.19	80.21
554	"New Zealand"	67.61	68.25	68.47	68.25	68.72	69.45	70.73	71.44	73.5	74.93	76.77	78.27	79.5
928	"Melanesia"	38.6823427406878	41.6718253285431	43.8621008208602	47.2386720161759	50.2966470248064	53.6237387067663	55.9133414044741	56.8372503489069	58.2885009938206	59.8876071564097	61.3814666520624	62.8610346387229	63.7573752788003
242	"Fiji"	50.12	52.76	55.11	57.21	59.1	60.69	62.02	63.12	64.04	64.83	65.5	66.09	66.93
540	"New Caledonia"	49.59	53.41	56.43	59.12	61.53	63.67	65.57	67.27	68.78	70.12	71.33	72.4	73.66
598	"Papua New Guinea"	36.51	39.37	41.34	44.9	48.12	51.75	54.3	55.45	56.98	58.66	60.26	61.83	62.62
90	"Solomon Islands"	44.9	47.4	49.9	52.4	54.9	57.4	58.2	55.53	57.94	60.97	63.48	66.1	68.26
548	"Vanuatu"	40.63	43.56	46.58	49.55	52.42	55.3	58.21	60.63	62.89	64.94	66.72	68.2	69.37
954	"Micronesia"	52.2143407981431	54.1230653331782	56.3302183481673	58.3880313373906	60.470876744184	61.9783237868173	62.9780624139169	64.2385693794318	65.6716980683113	67.4907785873617	68.8932006451606	69.7010764299191	70.4563354795149
316	"Guam"	55.35	57.85	60.35	62.6	64.6	66.35	67.85	69.2	70.4	71.9	73.6	74.7	76.37
296	"Kiribati"	44.2	45.81	48.5	50.85	53.38	54.45	55.1	56.61	58.67	60.38	61.58	62.03	62.43
583	"Micronesia (Fed. States of)"	54.05	56.05	58.05	60.05	62.15	64.25	64.81	65.38	65.94	66.5	66.92	67.56	67.72
957	"Polynesia"	48.6356499197372	51.9787888180275	54.0671024691402	56.1912399944082	58.1400277635834	60.0284783869745	62.3501627989124	64.1349403622689	66.137512154247	67.5189813112825	68.9102923384605	70.6318897588965	71.9714903441251
258	"French Polynesia"	48.01	53.56	55.66	57.59	59.4	61.09	64	65.64	67.65	68.97	70.65	72.82	73.97
882	"Samoa"	43	45.5	48	50.5	53	55.5	58	60.5	63.1	65.4	67.15	69.12	71.11
776	"Tonga"	58.46	60.16	61.86	63.36	64.86	65.86	66.86	67.77	68.38	68.79	68.82	69.05	69.57
