"name"	"country_code"	"2015"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"WORLD"	900	7383008.82	7725860.308	8003570.926	8226820.8	8421592.19	8580188.784	8693091.461	8752754.583	8759118.425	8719007.601	8641184.048	8529987.886	8385806.721	8209264.662	8004404.355	7777285.959	7532970.369	7275464.054
"More developed regions"	901	1253206.546	1259207.013	1255624.649	1245511.941	1232207.338	1215932.791	1196468.309	1173101.003	1145376.329	1114530.859	1082302.972	1049880.189	1017320.496	984446.427	950969.713	917039.841	882814.52	848226.816
"Less developed regions"	902	6129802.274	6466653.295	6747946.277	6981308.859	7189384.852	7364255.993	7496623.15200001	7579653.58	7613742.096	7604476.742	7558881.076	7480107.697	7368486.225	7224818.235	7053434.642	6860246.118	6650155.849	6427237.238
"Least developed countries"	941	956631.108	1064521.357	1173975.405	1283900.196	1396876.306	1509878.475	1619503.446	1723004.636	1819164.353	1907180.275	1986277.189	2055014.69	2111832.707	2155549.79	2185774.253	2202815.647	2207429.334	2200568.654
"Less developed regions, excluding least developed countries"	934	5173171.166	5402131.938	5573970.872	5697408.663	5792508.546	5854377.518	5877119.706	5856648.944	5794577.743	5697296.467	5572603.887	5425093.007	5256653.518	5069268.445	4867660.389	4657430.471	4442726.515	4226668.584
"Less developed regions, excluding China"	948	4701441.323	5022753.183	5307322.839	5558623.388	5793869.403	6004883.957	6182488.134	6320084.343	6416797.688	6474983.213	6497925.617	6486552.108	6441078.829	6362523.055	6254002.121	6119959.131	5964755.405	5793544.286
"High-income countries"	1503	1180060.957	1198224.939	1205873.519	1206837.138	1203723.073	1196149.644	1183861.772	1166440.152	1143666.495	1116993.578	1088326.544	1058805.219	1028370.399	996767.648	963748.569	929765	895320.821	860659.16
"Middle-income countries"	1517	5558263.979	5798651.126	5981783.393	6114707.242	6219164.241	6290291.93	6321656.912	6308495.808	6252168.722	6158945.65	6036580.978	5889691.668	5720227.063	5530253.49	5324653.64	5109069.665	4887661.411	4663588.177
"Upper-middle-income countries"	1502	2588362.98	2645916.108	2667460.951	2663908.135	2646165.529	2613876.678	2565895.03	2500581.496	2418676.775	2324125.64	2222175.21	2116376.231	2007795.428	1897120.007	1786429.774	1677976.557	1572994.209	1471040.878
"Lower-middle-income countries"	1501	2969900.999	3152735.018	3314322.442	3450799.107	3572998.712	3676415.252	3755761.882	3807914.312	3833491.947	3834820.01	3814405.768	3773315.437	3712431.635	3633133.483	3538223.866	3431093.108	3314667.202	3192547.299
"Low-income countries"	1500	641858.608	726010.926	812808.858	902054.866	995377.694	1090332.043	1184092.874	1274299.831	1359750.109	1439540.007	1512765.978	1578007.676	1633762.614	1678845.369	1712667.297	1735196.221	1746828.574	1748165.177
"Sub-Saharan Africa"	947	969234.251	1097424.304	1230252.032	1368097.667	1513800.58	1663678.889	1813308.088	1959001.162	2098611.51	2230501.575	2353317.264	2464924.403	2562765.522	2644746.721	2709762.082	2757381.073	2787732.896	2801395.104
"AFRICA"	903	1194369.908	1341210.702	1490259.642	1642427.701	1801945.819	1964966.319	2126203.526	2281343.106	2427964.284	2564525.837	2689990.051	2802380.732	2899192.672	2978416.919	3039085.449	3080888.365	3103983.85	3109059.387
"Eastern Africa"	910	399458.026	453504.367	508857.671	565458.842	624347.257	683946.824	742528.678	798662.009	851604.453	900859.12	945838.821	985764.357	1019716.631	1047070.185	1067552.562	1081129.237	1088019.184	1088514.332
"Burundi"	108	10199.27	11845.111	13543.397	15286.009	17167.712	19211.916	21357.18	23507.415	25603.142	27632.095	29602.462	31498.756	33269.596	34864.056	36245.437	37412.224	38355.036	39073.285
"Comoros"	174	777.424	862.267	944.153	1023.087	1101.821	1178.573	1250.704	1315.432	1371.193	1417.894	1455.533	1484.118	1502.408	1509.925	1506.883	1493.774	1472.063	1443.157
"Djibouti"	262	927.414	990.678	1043.746	1086.262	1120.772	1146.101	1161.539	1166.36	1159.998	1142.863	1116.053	1081.203	1039.849	993.844	945.14	895.559	846.013	797.533
"Eritrea"	232	4846.976	5384.238	5922.559	6460.542	7022.356	7587.657	8124.196	8606.332	9027.028	9389.733	9696.435	9942.408	10118.397	10221.456	10253.66	10218.881	10121.639	9967.769
"Ethiopia"	231	99873.033	111781.525	123293.946	134141.337	144572.421	154266.694	162974.768	170417.188	176425.229	180954.313	183989.352	185501.048	185467.77	183888.558	180871.797	176570.526	171243.579	165144.805
"Kenya"	404	47236.259	52999.696	58675.381	64306.541	69996.328	75516.448	80649.765	85288.113	89368.138	92844.227	95670.708	97782.248	99116.404	99674.156	99489.541	98590.529	97044.984	94941.126
"Madagascar"	450	24234.088	27440.882	30783.51	34207.767	37736.515	41282.636	44768.047	48128.514	51323.918	54315.729	57066.4	59522.267	61627.156	63353.198	64680.709	65610.97	66161.236	66345.029
"Malawi"	454	17573.607	20104.603	22759.432	25567.123	28514.028	31518.091	34501.406	37395.019	40156.434	42734.006	45078.332	47133.729	48847.074	50188.074	51143.995	51708.88	51901.56	51748.685
"Mauritius"	480	1259.456	1262.57	1253.201	1234.252	1208.566	1174.751	1132.926	1084.334	1031.729	977.476	922.767	867.673	811.54	754.071	696.063	638.98	584.802	535.659
"Mayotte"	175	240.02	270.689	300.672	330.622	361.262	391.382	419.649	445.026	467.142	486.036	501.756	514.309	523.541	529.26	531.297	529.445	523.737	514.262
"Mozambique"	508	28010.691	32049.682	36373.212	40988.426	45948.737	51109.721	56340.15	61536.432	66640.723	71588.449	76303.714	80715.041	84729.923	88267.61	91255.558	93640.502	95425.187	96584.604
"Reunion"	638	863.363	889.357	909.474	922.691	930.707	931.56	923.957	907.832	884.827	857.394	827.743	797.372	766.352	733.848	699.016	661.335	621.009	579.101
"Rwanda"	646	11629.553	12969.372	14216.976	15403.358	16589.201	17730.189	18746.28	19580.18	20229.088	20709.747	21024.977	21171.303	21138.251	20930.487	20560.024	20041.457	19392.446	18639.034
"Seychelles"	690	93.742	95.309	95.423	94.568	93.284	91.552	89.223	86.102	82.319	78.151	73.897	69.725	65.678	61.756	57.926	54.143	50.356	46.511
"Somalia"	706	13908.129	15985.445	18318.166	20847.888	23603.946	26534.714	29580.869	32685.075	35798.92	38883.141	41885.398	44746.983	47404.249	49802.219	51903.42	53687.059	55121.434	56199.439
"South Sudan"	728	11882.136	13500.796	15082.634	16648.367	18241.445	19851.401	21426.733	22920.356	24307.566	25575.065	26709.358	27682.042	28464.655	29041.477	29410.033	29577.049	29558.92	29374.458
"Uganda"	800	40144.87	46800.657	53957.086	61605.875	69818.698	78368.251	87012.834	95574.239	103946.827	112020.869	119662.118	126710.504	133003.578	138413.296	142849.276	146254.24	148596.691	149849.846
"United Republic of Tanzania"	834	53879.957	62244.074	71154.239	80707.587	91100.14	102073.987	113327.335	124629.415	135914.172	147125.711	158110.294	168679.464	178581.397	187633.968	195717.974	202748.585	208616.724	213234.587
"Zambia"	894	16100.587	18521.205	21137.747	23967.676	27039.649	30295.945	33670.803	37110.46	40596.723	44093.094	47569.601	50969.259	54237.142	57322.916	60179.99	62776.501	65083.639	67073.602
"Zimbabwe"	716	15777.451	17506.211	19092.717	20628.864	22179.669	23685.255	25070.314	26278.185	27269.337	28033.127	28571.923	28894.905	29001.671	28886.01	28554.823	28018.598	27298.129	26421.84
"Middle Africa"	911	153742.724	177576.251	202977.331	229931.335	258804.284	288845.257	319134.551	348982.868	377965.713	405694.04	431880.432	455978.526	477475.739	495975.758	511115.374	522755.296	530850.644	535476.57
"Angola"	24	27859.305	32568.226	37681.01	43230.578	49290.647	55742.401	62441.354	69259.612	76108.892	82920.516	89625.095	96124.365	102289.515	108003.422	113177.52	117735.368	121640.63	124855.957
"Cameroon"	120	22834.522	25739.803	28724.515	31800.06	35047.605	38392.504	41751.1	45038.988	48195.187	51172.037	53946.35	56493.56	58761.34	60698.383	62263.085	63424.387	64175.531	64533.595
"Central African Republic"	140	4546.1	4881.666	5377.322	5905.661	6455.747	6992.722	7499.052	7969.118	8403.949	8798.756	9143.098	9424.148	9631.292	9759.585	9812.367	9794.45	9712.64	9570.903
"Chad"	148	14009.413	16160.387	18416.67	20758.348	23206.381	25702.305	28186.917	30611.709	32940.548	35138.53	37168.459	38988.335	40558.218	41849.143	42836.269	43512.27	43883.962	43966.185
"Congo"	178	4995.648	5639.818	6321.66	7057.834	7862.927	8705.314	9547.075	10371.595	11181.498	11979.037	12758.465	13500.291	14185.008	14799.058	15331.913	15778.353	16128.939	16383.25
"Democratic Republic of the Congo"	180	76196.619	88842.556	102295.263	116615.769	131983.061	147958.975	163982.341	179659.634	194753.942	209036.675	222369.137	234402.851	244878.279	253616.244	260415.259	265249.644	268111.067	269072.583
"Equatorial Guinea"	226	1175.389	1395.344	1604.514	1807.626	2003.438	2201.019	2391.609	2570.501	2737.793	2889.516	3021.542	3130.937	3215.222	3274.241	3309.19	3322.193	3315.018	3289
"Gabon"	266	1930.175	2132.308	2319.31	2496.926	2673.956	2847.991	3012.811	3160.889	3286.291	3386.567	3463.108	3518.13	3552.442	3565.287	3556.116	3524.481	3470.704	3397.014
"Sao Tome and Principe"	678	195.553	216.143	237.067	258.533	280.522	302.026	322.292	340.822	357.613	372.406	385.178	395.909	404.423	410.395	413.655	414.15	412.153	408.083
"Northern Africa"	912	225135.657	243786.398	260007.61	274330.034	288145.239	301287.43	312895.438	322341.944	329352.774	334024.262	336672.787	337456.329	336427.15	333670.198	329323.367	323507.292	316250.954	307664.283
"Algeria"	12	39871.528	42919.261	45237.055	46949.454	48377.705	49648.433	50752.773	51562.136	51902.702	51719.286	51097.419	50160.906	48994.302	47661.261	46204.325	44631	42906.586	40996.413
"Egypt"	818	93778.172	101983.204	108936.08	115130.473	121314.659	127327.177	132514.286	136555.634	139433.061	141293.371	142302.32	142481.332	141848.718	140449.406	138339.731	135551.999	132080.369	127953.825
"Libya"	434	6234.955	6595.228	6858.054	7036.629	7165.249	7248.129	7276.428	7230.885	7101.923	6899.245	6647.423	6372.535	6087.793	5798.434	5500.459	5191.914	4875.124	4559.583
