"name"	"country_code"	"reg_code"	"reg_name"	"area_code"	"area_name"	"location_type"	"agcode_1500"	"agcode_1501"	"agcode_1502"	"agcode_1503"	"agcode_1517"	"agcode_901"	"agcode_902"	"agcode_921"	"agcode_934"	"agcode_941"	"agcode_947"	"agcode_948"
"WORLD"	900	900	"World"	900	"World"	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"More developed regions"	901	901	"More developed regions"	900	"World"	901	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"Less developed regions"	902	902	"Less developed regions"	900	"World"	902	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"Least developed countries"	941	941	"Least developed countries"	902	"Less developed regions"	941	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"Less developed regions, excluding least developed countries"	934	934	"Other less developed countries"	902	"Less developed regions"	934	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"Less developed regions, excluding China"	948	948	"Less developed regions, excluding China"	902	"Less developed regions"	948	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"World Bank Income Groups"	1802	1802	"World Bank Income Groups"	1802	"World Bank Income Groups"	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"High-income countries"	1503	1802	"World Bank Income Groups"	1802	"World Bank Income Groups"	1503	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"Middle-income countries"	1517	1802	"World Bank Income Groups"	1802	"World Bank Income Groups"	1517	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"Upper-middle-income countries"	1502	1802	"World Bank Income Groups"	1802	"World Bank Income Groups"	1502	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"Lower-middle-income countries"	1501	1802	"World Bank Income Groups"	1802	"World Bank Income Groups"	1501	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"Low-income countries"	1500	1802	"World Bank Income Groups"	1802	"World Bank Income Groups"	1500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"Sub-Saharan Africa"	947	947	"Sub-Saharan Africa"	947	"Sub-Saharan Africa"	947	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"AFRICA"	903	903	"Africa"	900	"World"	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"Eastern Africa"	910	910	"Eastern Africa"	903	"Africa"	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"Burundi"	108	910	"Eastern Africa"	903	"Africa"	4	1500	-1	-1	-1	-1	-1	902	-1	-1	941	947	948
"Comoros"	174	910	"Eastern Africa"	903	"Africa"	4	1500	-1	-1	-1	-1	-1	902	-1	-1	941	947	948
"Djibouti"	262	910	"Eastern Africa"	903	"Africa"	4	-1	1501	-1	-1	1517	-1	902	-1	-1	941	947	948
"Eritrea"	232	910	"Eastern Africa"	903	"Africa"	4	1500	-1	-1	-1	-1	-1	902	-1	-1	941	947	948
"Ethiopia"	231	910	"Eastern Africa"	903	"Africa"	4	1500	-1	-1	-1	-1	-1	902	-1	-1	941	947	948
"Kenya"	404	910	"Eastern Africa"	903	"Africa"	4	-1	1501	-1	-1	1517	-1	902	-1	934	-1	947	948
"Madagascar"	450	910	"Eastern Africa"	903	"Africa"	4	1500	-1	-1	-1	-1	-1	902	-1	-1	941	947	948
"Malawi"	454	910	"Eastern Africa"	903	"Africa"	4	1500	-1	-1	-1	-1	-1	902	-1	-1	941	947	948
"Mauritius"	480	910	"Eastern Africa"	903	"Africa"	4	-1	-1	1502	-1	1517	-1	902	-1	934	-1	947	948
"Mayotte"	175	910	"Eastern Africa"	903	"Africa"	4	-1	-1	-1	-1	-1	-1	902	-1	934	-1	947	948
"Mozambique"	508	910	"Eastern Africa"	903	"Africa"	4	1500	-1	-1	-1	-1	-1	902	-1	-1	941	947	948
"Reunion"	638	910	"Eastern Africa"	903	"Africa"	4	-1	-1	-1	-1	-1	-1	902	-1	934	-1	947	948
"Rwanda"	646	910	"Eastern Africa"	903	"Africa"	4	1500	-1	-1	-1	-1	-1	902	-1	-1	941	947	948
"Seychelles"	690	910	"Eastern Africa"	903	"Africa"	4	-1	-1	-1	1503	-1	-1	902	-1	934	-1	947	948
"Somalia"	706	910	"Eastern Africa"	903	"Africa"	4	1500	-1	-1	-1	-1	-1	902	-1	-1	941	947	948
"South Sudan"	728	910	"Eastern Africa"	903	"Africa"	4	1500	-1	-1	-1	-1	-1	902	-1	-1	941	947	948
"Uganda"	800	910	"Eastern Africa"	903	"Africa"	4	1500	-1	-1	-1	-1	-1	902	-1	-1	941	947	948
"United Republic of Tanzania"	834	910	"Eastern Africa"	903	"Africa"	4	1500	-1	-1	-1	-1	-1	902	-1	-1	941	947	948
"Zambia"	894	910	"Eastern Africa"	903	"Africa"	4	-1	1501	-1	-1	1517	-1	902	-1	-1	941	947	948
"Zimbabwe"	716	910	"Eastern Africa"	903	"Africa"	4	1500	-1	-1	-1	-1	-1	902	-1	934	-1	947	948
"Middle Africa"	911	911	"Middle Africa"	903	"Africa"	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"Angola"	24	911	"Middle Africa"	903	"Africa"	4	-1	-1	1502	-1	1517	-1	902	-1	-1	941	947	948
"Cameroon"	120	911	"Middle Africa"	903	"Africa"	4	-1	1501	-1	-1	1517	-1	902	-1	934	-1	947	948
