"name"	"country_code"	"reg_code"	"reg_name"	"area_code"	"area_name"	"location_type"	"agcode_1500"	"agcode_1501"	"agcode_1502"	"agcode_1503"	"agcode_1517"	"agcode_901"	"agcode_902"	"agcode_921"	"agcode_934"	"agcode_941"	"agcode_947"	"agcode_948"
"Central African Republic"	140	911	"Middle Africa"	903	"Africa"	4	1500	-1	-1	-1	-1	-1	902	-1	-1	941	947	948
"Chad"	148	911	"Middle Africa"	903	"Africa"	4	1500	-1	-1	-1	-1	-1	902	-1	-1	941	947	948
"Congo"	178	911	"Middle Africa"	903	"Africa"	4	-1	1501	-1	-1	1517	-1	902	-1	934	-1	947	948
"Democratic Republic of the Congo"	180	911	"Middle Africa"	903	"Africa"	4	1500	-1	-1	-1	-1	-1	902	-1	-1	941	947	948
"Equatorial Guinea"	226	911	"Middle Africa"	903	"Africa"	4	-1	-1	-1	1503	-1	-1	902	-1	-1	941	947	948
"Gabon"	266	911	"Middle Africa"	903	"Africa"	4	-1	-1	1502	-1	1517	-1	902	-1	934	-1	947	948
"Sao Tome and Principe"	678	911	"Middle Africa"	903	"Africa"	4	-1	1501	-1	-1	1517	-1	902	-1	-1	941	947	948
"Northern Africa"	912	912	"Northern Africa"	903	"Africa"	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"Algeria"	12	912	"Northern Africa"	903	"Africa"	4	-1	-1	1502	-1	1517	-1	902	-1	934	-1	-1	948
"Egypt"	818	912	"Northern Africa"	903	"Africa"	4	-1	1501	-1	-1	1517	-1	902	-1	934	-1	-1	948
"Libya"	434	912	"Northern Africa"	903	"Africa"	4	-1	-1	1502	-1	1517	-1	902	-1	934	-1	-1	948
"Morocco"	504	912	"Northern Africa"	903	"Africa"	4	-1	1501	-1	-1	1517	-1	902	-1	934	-1	-1	948
"Sudan"	729	912	"Northern Africa"	903	"Africa"	4	-1	1501	-1	-1	1517	-1	902	-1	-1	941	-1	948
"Tunisia"	788	912	"Northern Africa"	903	"Africa"	4	-1	-1	1502	-1	1517	-1	902	-1	934	-1	-1	948
"Western Sahara"	732	912	"Northern Africa"	903	"Africa"	4	-1	-1	-1	-1	-1	-1	902	-1	934	-1	-1	948
"Southern Africa"	913	913	"Southern Africa"	903	"Africa"	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"Botswana"	72	913	"Southern Africa"	903	"Africa"	4	-1	-1	1502	-1	1517	-1	902	-1	934	-1	947	948
"Lesotho"	426	913	"Southern Africa"	903	"Africa"	4	-1	1501	-1	-1	1517	-1	902	-1	-1	941	947	948
"Namibia"	516	913	"Southern Africa"	903	"Africa"	4	-1	-1	1502	-1	1517	-1	902	-1	934	-1	947	948
"South Africa"	710	913	"Southern Africa"	903	"Africa"	4	-1	-1	1502	-1	1517	-1	902	-1	934	-1	947	948
"Swaziland"	748	913	"Southern Africa"	903	"Africa"	4	-1	1501	-1	-1	1517	-1	902	-1	934	-1	947	948
"Western Africa"	914	914	"Western Africa"	903	"Africa"	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"Benin"	204	914	"Western Africa"	903	"Africa"	4	1500	-1	-1	-1	-1	-1	902	-1	-1	941	947	948
"Burkina Faso"	854	914	"Western Africa"	903	"Africa"	4	1500	-1	-1	-1	-1	-1	902	-1	-1	941	947	948
"Cabo Verde"	132	914	"Western Africa"	903	"Africa"	4	-1	1501	-1	-1	1517	-1	902	-1	934	-1	947	948
"Cote d'Ivoire"	384	914	"Western Africa"	903	"Africa"	4	-1	1501	-1	-1	1517	-1	902	-1	934	-1	947	948
"Gambia"	270	914	"Western Africa"	903	"Africa"	4	1500	-1	-1	-1	-1	-1	902	-1	-1	941	947	948
"Ghana"	288	914	"Western Africa"	903	"Africa"	4	-1	1501	-1	-1	1517	-1	902	-1	934	-1	947	948
"Guinea"	324	914	"Western Africa"	903	"Africa"	4	1500	-1	-1	-1	-1	-1	902	-1	-1	941	947	948
"Guinea-Bissau"	624	914	"Western Africa"	903	"Africa"	4	1500	-1	-1	-1	-1	-1	902	-1	-1	941	947	948
"Liberia"	430	914	"Western Africa"	903	"Africa"	4	1500	-1	-1	-1	-1	-1	902	-1	-1	941	947	948
"Mali"	466	914	"Western Africa"	903	"Africa"	4	1500	-1	-1	-1	-1	-1	902	-1	-1	941	947	948
"Mauritania"	478	914	"Western Africa"	903	"Africa"	4	-1	1501	-1	-1	1517	-1	902	-1	-1	941	947	948
"Niger"	562	914	"Western Africa"	903	"Africa"	4	1500	-1	-1	-1	-1	-1	902	-1	-1	941	947	948
"Nigeria"	566	914	"Western Africa"	903	"Africa"	4	-1	1501	-1	-1	1517	-1	902	-1	934	-1	947	948
"Saint Helena"	654	914	"Western Africa"	903	"Africa"	4	-1	-1	-1	-1	-1	-1	902	-1	934	-1	947	948
"Senegal"	686	914	"Western Africa"	903	"Africa"	4	-1	1501	-1	-1	1517	-1	902	-1	-1	941	947	948
"Sierra Leone"	694	914	"Western Africa"	903	"Africa"	4	1500	-1	-1	-1	-1	-1	902	-1	-1	941	947	948
"Togo"	768	914	"Western Africa"	903	"Africa"	4	1500	-1	-1	-1	-1	-1	902	-1	-1	941	947	948
"ASIA"	935	935	"Asia"	900	"World"	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"Eastern Asia"	906	906	"Eastern Asia"	935	"Asia"	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"China"	156	906	"Eastern Asia"	935	"Asia"	4	-1	-1	1502	-1	1517	-1	902	-1	934	-1	-1	-1
"China, Hong Kong SAR"	344	906	"Eastern Asia"	935	"Asia"	4	-1	-1	-1	1503	-1	-1	902	-1	934	-1	-1	-1
"China, Macao SAR"	446	906	"Eastern Asia"	935	"Asia"	4	-1	-1	-1	1503	-1	-1	902	-1	934	-1	-1	-1
"Dem. People's Republic of Korea"	408	906	"Eastern Asia"	935	"Asia"	4	1500	-1	-1	-1	-1	-1	902	-1	934	-1	-1	948
"Japan"	392	906	"Eastern Asia"	935	"Asia"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"Mongolia"	496	906	"Eastern Asia"	935	"Asia"	4	-1	-1	1502	-1	1517	-1	902	-1	934	-1	-1	948
"Republic of Korea"	410	906	"Eastern Asia"	935	"Asia"	4	-1	-1	-1	1503	-1	-1	902	-1	934	-1	-1	948
"China, Taiwan Province of China"	158	906	"Eastern Asia"	935	"Asia"	4	-1	-1	-1	1503	-1	-1	902	-1	934	-1	-1	-1
"South-Central Asia"	921	921	"South-Central Asia"	935	"Asia"	921	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"Central Asia"	5500	921	"South-Central Asia"	935	"Asia"	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"Kazakhstan"	398	5500	"Central Asia"	935	"Asia"	4	-1	-1	1502	-1	1517	-1	902	921	934	-1	-1	948
"Kyrgyzstan"	417	5500	"Central Asia"	935	"Asia"	4	-1	1501	-1	-1	1517	-1	902	921	934	-1	-1	948
"Tajikistan"	762	5500	"Central Asia"	935	"Asia"	4	-1	1501	-1	-1	1517	-1	902	921	934	-1	-1	948
"Turkmenistan"	795	5500	"Central Asia"	935	"Asia"	4	-1	-1	1502	-1	1517	-1	902	921	934	-1	-1	948
"Uzbekistan"	860	5500	"Central Asia"	935	"Asia"	4	-1	1501	-1	-1	1517	-1	902	921	934	-1	-1	948
"Southern Asia"	5501	921	"South-Central Asia"	935	"Asia"	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"Afghanistan"	4	5501	"Southern Asia"	935	"Asia"	4	1500	-1	-1	-1	-1	-1	902	921	-1	941	-1	948
"Bangladesh"	50	5501	"Southern Asia"	935	"Asia"	4	-1	1501	-1	-1	1517	-1	902	921	-1	941	-1	948
"Bhutan"	64	5501	"Southern Asia"	935	"Asia"	4	-1	1501	-1	-1	1517	-1	902	921	-1	941	-1	948
"India"	356	5501	"Southern Asia"	935	"Asia"	4	-1	1501	-1	-1	1517	-1	902	921	934	-1	-1	948
"Iran (Islamic Republic of)"	364	5501	"Southern Asia"	935	"Asia"	4	-1	-1	1502	-1	1517	-1	902	921	934	-1	-1	948
"Maldives"	462	5501	"Southern Asia"	935	"Asia"	4	-1	-1	1502	-1	1517	-1	902	921	934	-1	-1	948
"Nepal"	524	5501	"Southern Asia"	935	"Asia"	4	1500	-1	-1	-1	-1	-1	902	921	-1	941	-1	948
"Pakistan"	586	5501	"Southern Asia"	935	"Asia"	4	-1	1501	-1	-1	1517	-1	902	921	934	-1	-1	948
"Sri Lanka"	144	5501	"Southern Asia"	935	"Asia"	4	-1	1501	-1	-1	1517	-1	902	921	934	-1	-1	948
"South-Eastern Asia"	920	920	"South-Eastern Asia"	935	"Asia"	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"Brunei Darussalam"	96	920	"South-Eastern Asia"	935	"Asia"	4	-1	-1	-1	1503	-1	-1	902	-1	934	-1	-1	948
"Cambodia"	116	920	"South-Eastern Asia"	935	"Asia"	4	1500	-1	-1	-1	-1	-1	902	-1	-1	941	-1	948
"Indonesia"	360	920	"South-Eastern Asia"	935	"Asia"	4	-1	1501	-1	-1	1517	-1	902	-1	934	-1	-1	948
"Lao People's Democratic Republic"	418	920	"South-Eastern Asia"	935	"Asia"	4	-1	1501	-1	-1	1517	-1	902	-1	-1	941	-1	948
"Malaysia"	458	920	"South-Eastern Asia"	935	"Asia"	4	-1	-1	1502	-1	1517	-1	902	-1	934	-1	-1	948
"Myanmar"	104	920	"South-Eastern Asia"	935	"Asia"	4	-1	1501	-1	-1	1517	-1	902	-1	-1	941	-1	948
"Philippines"	608	920	"South-Eastern Asia"	935	"Asia"	4	-1	1501	-1	-1	1517	-1	902	-1	934	-1	-1	948
"Singapore"	702	920	"South-Eastern Asia"	935	"Asia"	4	-1	-1	-1	1503	-1	-1	902	-1	934	-1	-1	948
"Thailand"	764	920	"South-Eastern Asia"	935	"Asia"	4	-1	-1	1502	-1	1517	-1	902	-1	934	-1	-1	948
"Timor-Leste"	626	920	"South-Eastern Asia"	935	"Asia"	4	-1	1501	-1	-1	1517	-1	902	-1	-1	941	-1	948
"Viet Nam"	704	920	"South-Eastern Asia"	935	"Asia"	4	-1	1501	-1	-1	1517	-1	902	-1	934	-1	-1	948
"Western Asia"	922	922	"Western Asia"	935	"Asia"	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"Armenia"	51	922	"Western Asia"	935	"Asia"	4	-1	1501	-1	-1	1517	-1	902	-1	934	-1	-1	948
"Azerbaijan"	31	922	"Western Asia"	935	"Asia"	4	-1	-1	1502	-1	1517	-1	902	-1	934	-1	-1	948
"Bahrain"	48	922	"Western Asia"	935	"Asia"	4	-1	-1	-1	1503	-1	-1	902	-1	934	-1	-1	948
"Cyprus"	196	922	"Western Asia"	935	"Asia"	4	-1	-1	-1	1503	-1	-1	902	-1	934	-1	-1	948
"Georgia"	268	922	"Western Asia"	935	"Asia"	4	-1	1501	-1	-1	1517	-1	902	-1	934	-1	-1	948
"Iraq"	368	922	"Western Asia"	935	"Asia"	4	-1	-1	1502	-1	1517	-1	902	-1	934	-1	-1	948
"Israel"	376	922	"Western Asia"	935	"Asia"	4	-1	-1	-1	1503	-1	-1	902	-1	934	-1	-1	948
"Jordan"	400	922	"Western Asia"	935	"Asia"	4	-1	-1	1502	-1	1517	-1	902	-1	934	-1	-1	948
"Kuwait"	414	922	"Western Asia"	935	"Asia"	4	-1	-1	-1	1503	-1	-1	902	-1	934	-1	-1	948
"Lebanon"	422	922	"Western Asia"	935	"Asia"	4	-1	-1	1502	-1	1517	-1	902	-1	934	-1	-1	948
"Oman"	512	922	"Western Asia"	935	"Asia"	4	-1	-1	-1	1503	-1	-1	902	-1	934	-1	-1	948
"Qatar"	634	922	"Western Asia"	935	"Asia"	4	-1	-1	-1	1503	-1	-1	902	-1	934	-1	-1	948
"Saudi Arabia"	682	922	"Western Asia"	935	"Asia"	4	-1	-1	-1	1503	-1	-1	902	-1	934	-1	-1	948
"State of Palestine"	275	922	"Western Asia"	935	"Asia"	4	-1	1501	-1	-1	1517	-1	902	-1	934	-1	-1	948
"Syrian Arab Republic"	760	922	"Western Asia"	935	"Asia"	4	-1	1501	-1	-1	1517	-1	902	-1	934	-1	-1	948
"Turkey"	792	922	"Western Asia"	935	"Asia"	4	-1	-1	1502	-1	1517	-1	902	-1	934	-1	-1	948
"United Arab Emirates"	784	922	"Western Asia"	935	"Asia"	4	-1	-1	-1	1503	-1	-1	902	-1	934	-1	-1	948
"Yemen"	887	922	"Western Asia"	935	"Asia"	4	-1	1501	-1	-1	1517	-1	902	-1	-1	941	-1	948
"EUROPE"	908	908	"Europe"	900	"World"	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"Eastern Europe"	923	923	"Eastern Europe"	908	"Europe"	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"Belarus"	112	923	"Eastern Europe"	908	"Europe"	4	-1	-1	1502	-1	1517	901	-1	-1	-1	-1	-1	-1
"Bulgaria"	100	923	"Eastern Europe"	908	"Europe"	4	-1	-1	1502	-1	1517	901	-1	-1	-1	-1	-1	-1
"Czechia"	203	923	"Eastern Europe"	908	"Europe"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"Hungary"	348	923	"Eastern Europe"	908	"Europe"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"Poland"	616	923	"Eastern Europe"	908	"Europe"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"Republic of Moldova"	498	923	"Eastern Europe"	908	"Europe"	4	-1	1501	-1	-1	1517	901	-1	-1	-1	-1	-1	-1
"Romania"	642	923	"Eastern Europe"	908	"Europe"	4	-1	-1	1502	-1	1517	901	-1	-1	-1	-1	-1	-1
"Russian Federation"	643	923	"Eastern Europe"	908	"Europe"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"Slovakia"	703	923	"Eastern Europe"	908	"Europe"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"Ukraine"	804	923	"Eastern Europe"	908	"Europe"	4	-1	1501	-1	-1	1517	901	-1	-1	-1	-1	-1	-1
"Northern Europe"	924	924	"Northern Europe"	908	"Europe"	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"Channel Islands"	830	924	"Northern Europe"	908	"Europe"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"Denmark"	208	924	"Northern Europe"	908	"Europe"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"Estonia"	233	924	"Northern Europe"	908	"Europe"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"Faeroe Islands"	234	924	"Northern Europe"	908	"Europe"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"Finland"	246	924	"Northern Europe"	908	"Europe"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"Iceland"	352	924	"Northern Europe"	908	"Europe"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"Ireland"	372	924	"Northern Europe"	908	"Europe"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"Isle of Man"	833	924	"Northern Europe"	908	"Europe"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"Latvia"	428	924	"Northern Europe"	908	"Europe"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"Lithuania"	440	924	"Northern Europe"	908	"Europe"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"Norway"	578	924	"Northern Europe"	908	"Europe"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"Sweden"	752	924	"Northern Europe"	908	"Europe"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"United Kingdom"	826	924	"Northern Europe"	908	"Europe"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"Southern Europe"	925	925	"Southern Europe"	908	"Europe"	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"Albania"	8	925	"Southern Europe"	908	"Europe"	4	-1	-1	1502	-1	1517	901	-1	-1	-1	-1	-1	-1
"Andorra"	20	925	"Southern Europe"	908	"Europe"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"Bosnia and Herzegovina"	70	925	"Southern Europe"	908	"Europe"	4	-1	-1	1502	-1	1517	901	-1	-1	-1	-1	-1	-1
"Croatia"	191	925	"Southern Europe"	908	"Europe"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"Gibraltar"	292	925	"Southern Europe"	908	"Europe"	4	-1	-1	-1	-1	-1	901	-1	-1	-1	-1	-1	-1
"Greece"	300	925	"Southern Europe"	908	"Europe"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"Holy See"	336	925	"Southern Europe"	908	"Europe"	4	-1	-1	-1	-1	-1	901	-1	-1	-1	-1	-1	-1
"Italy"	380	925	"Southern Europe"	908	"Europe"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"Malta"	470	925	"Southern Europe"	908	"Europe"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"Montenegro"	499	925	"Southern Europe"	908	"Europe"	4	-1	-1	1502	-1	1517	901	-1	-1	-1	-1	-1	-1
"Portugal"	620	925	"Southern Europe"	908	"Europe"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"San Marino"	674	925	"Southern Europe"	908	"Europe"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"Serbia"	688	925	"Southern Europe"	908	"Europe"	4	-1	-1	1502	-1	1517	901	-1	-1	-1	-1	-1	-1
"Slovenia"	705	925	"Southern Europe"	908	"Europe"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"Spain"	724	925	"Southern Europe"	908	"Europe"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"TFYR Macedonia"	807	925	"Southern Europe"	908	"Europe"	4	-1	-1	1502	-1	1517	901	-1	-1	-1	-1	-1	-1
"Western Europe"	926	926	"Western Europe"	908	"Europe"	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"Austria"	40	926	"Western Europe"	908	"Europe"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"Belgium"	56	926	"Western Europe"	908	"Europe"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"France"	250	926	"Western Europe"	908	"Europe"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"Germany"	276	926	"Western Europe"	908	"Europe"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"Liechtenstein"	438	926	"Western Europe"	908	"Europe"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"Luxembourg"	442	926	"Western Europe"	908	"Europe"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"Monaco"	492	926	"Western Europe"	908	"Europe"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"Netherlands"	528	926	"Western Europe"	908	"Europe"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"Switzerland"	756	926	"Western Europe"	908	"Europe"	4	-1	-1	-1	1503	-1	901	-1	-1	-1	-1	-1	-1
"LATIN AMERICA AND THE CARIBBEAN"	904	904	"Latin America and the Caribbean"	900	"World"	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"Caribbean"	915	915	"Caribbean"	904	"Latin America and the Caribbean"	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"Anguilla"	660	915	"Caribbean"	904	"Latin America and the Caribbean"	4	-1	-1	-1	-1	-1	-1	902	-1	934	-1	-1	948
"Antigua and Barbuda"	28	915	"Caribbean"	904	"Latin America and the Caribbean"	4	-1	-1	-1	1503	-1	-1	902	-1	934	-1	-1	948
"Aruba"	533	915	"Caribbean"	904	"Latin America and the Caribbean"	4	-1	-1	-1	1503	-1	-1	902	-1	934	-1	-1	948
"Bahamas"	44	915	"Caribbean"	904	"Latin America and the Caribbean"	4	-1	-1	-1	1503	-1	-1	902	-1	934	-1	-1	948
"Barbados"	52	915	"Caribbean"	904	"Latin America and the Caribbean"	4	-1	-1	-1	1503	-1	-1	902	-1	934	-1	-1	948
"British Virgin Islands"	92	915	"Caribbean"	904	"Latin America and the Caribbean"	4	-1	-1	-1	-1	-1	-1	902	-1	934	-1	-1	948
"Caribbean Netherlands"	535	915	"Caribbean"	904	"Latin America and the Caribbean"	4	-1	-1	-1	-1	-1	-1	902	-1	934	-1	-1	948
"Cayman Islands"	136	915	"Caribbean"	904	"Latin America and the Caribbean"	4	-1	-1	-1	1503	-1	-1	902	-1	934	-1	-1	948
"Cuba"	192	915	"Caribbean"	904	"Latin America and the Caribbean"	4	-1	-1	1502	-1	1517	-1	902	-1	934	-1	-1	948
"Curacao"	531	915	"Caribbean"	904	"Latin America and the Caribbean"	4	-1	-1	-1	1503	-1	-1	902	-1	934	-1	-1	948
"Dominica"	212	915	"Caribbean"	904	"Latin America and the Caribbean"	4	-1	-1	1502	-1	1517	-1	902	-1	934	-1	-1	948
"Dominican Republic"	214	915	"Caribbean"	904	"Latin America and the Caribbean"	4	-1	-1	1502	-1	1517	-1	902	-1	934	-1	-1	948
"Grenada"	308	915	"Caribbean"	904	"Latin America and the Caribbean"	4	-1	-1	1502	-1	1517	-1	902	-1	934	-1	-1	948
"Guadeloupe"	312	915	"Caribbean"	904	"Latin America and the Caribbean"	4	-1	-1	-1	-1	-1	-1	902	-1	934	-1	-1	948
"Haiti"	332	915	"Caribbean"	904	"Latin America and the Caribbean"	4	1500	-1	-1	-1	-1	-1	902	-1	-1	941	-1	948
"Jamaica"	388	915	"Caribbean"	904	"Latin America and the Caribbean"	4	-1	-1	1502	-1	1517	-1	902	-1	934	-1	-1	948
