"country_code"	"name"	"age"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
598	"Papua New Guinea"	"15-19"	7.5189	7.4959	7.4749	7.5462	8.016	7.925	8.096	8.416	8.0621	7.721	7.412	7.392	7.371	7.337	7.279	7.1956	7.0854	6.953	6.7998	6.6219	6.4263	6.2126	5.9849	5.7412	5.4883	5.2278	4.9612	4.6921	4.4249	4.1561
598	"Papua New Guinea"	"20-24"	21.6898	21.6948	21.6998	21.6414	21.49	21.87	22.19	22.4739	22.9262	23.38	23.831	23.767	23.7019	23.6223	23.5127	23.3718	23.2001	22.9921	22.7503	22.4716	22.1526	21.7979	21.4028	20.977	20.5096	20.0125	19.4847	18.9258	18.3471	17.7529
598	"Papua New Guinea"	"25-29"	22.4368	22.4418	22.4478	22.5985	22.651	22.823	22.931	23.002	23.2432	23.483	23.717	23.653	23.5891	23.5492	23.5518	23.5988	23.6962	23.8299	24.0043	24.2144	24.4577	24.7328	25.0337	25.36	25.7007	26.0602	26.4331	26.8141	27.2	27.5849
598	"Papua New Guinea"	"30-34"	19.9858	19.9919	19.9958	19.8414	19.602	19.6949	19.732	19.738	19.8892	20.039	20.182	20.249	20.316	20.4112	20.5618	20.764	21.0222	21.337	21.7034	22.1257	22.6017	23.1219	23.6909	24.3008	24.9537	25.6402	26.3591	27.1059	27.8688	28.6523
598	"Papua New Guinea"	"35-39"	15.4228	15.4268	15.4298	15.0793	14.665	14.634	14.5609	14.4641	14.4731	14.4799	14.4811	14.529	14.5771	14.6312	14.6959	14.7753	14.8647	14.9611	15.0655	15.1756	15.2915	15.4062	15.5227	15.6326	15.7445	15.8414	15.9366	16.019	16.0913	16.1487
598	"Papua New Guinea"	"40-44"	8.8029	8.8049	8.8069	8.7782	8.712	8.406	8.0751	7.73	7.44	7.1441	6.842	6.864	6.887	6.8991	6.8949	6.8726	6.8283	6.7661	6.6858	6.5848	6.4681	6.3317	6.18	6.0114	5.8301	5.6379	5.4311	5.221	5.004	4.7801
598	"Papua New Guinea"	"45-49"	4.143	4.144	4.145	4.5151	4.864	4.647	4.415	4.176	3.9661	3.753	3.535	3.546	3.558	3.55	3.504	3.4219	3.3032	3.1609	2.9908	2.806	2.6021	2.3969	2.1851	1.977	1.7731	1.5799	1.3941	1.222	1.0638	0.925
90	"Solomon Islands"	"15-19"	4.095	4.095	4.095	4.095	9.845	9.209	8.574	8.073	7.661	7.2501	7.621	7.116	6.6109	6.1501	5.737	5.355	5.0099	4.6948	4.407	4.146	3.91	3.6919	3.4911	3.3141	3.1519	3.0031	2.868	2.754	2.6531	2.567
90	"Solomon Islands"	"20-24"	17.826	17.826	17.826	17.826	19.96	21.253	22.547	23.282	23.6441	24.0059	23.428	23.03	22.6318	22.2139	21.7867	21.3552	20.9205	20.4839	20.0457	19.6128	19.1737	18.7398	18.3071	17.8738	17.4457	17.0232	16.6111	16.2229	15.8538	15.5127
90	"Solomon Islands"	"25-29"	23.702	23.702	23.702	23.702	22.117	23.028	23.935	24.781	25.585	26.3881	26.565	26.435	26.3048	26.168	26.0557	25.9743	25.9274	25.9177	25.9458	26.0117	26.1088	26.2414	26.4082	26.5981	26.818	27.0562	27.3073	27.5617	27.8181	28.0683
