"country_code"	"name"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
4	"Afghanistan"	3.8717	2.8091	2.0737	1.6926	1.4992	1.3582	1.251	1.164	1.0817	1.021	0.9766	0.9359	0.9106	0.8964	0.8908	0.8971	0.9126
8	"Albania"	1.3645	1.1899	1.0415	0.9506	0.8931	0.8566	0.8496	0.8592	0.895	0.9323	0.9735	1.0121	1.0554	1.096	1.137	1.1714	1.2023
12	"Algeria"	2.2028	1.9296	1.7359	1.5815	1.4521	1.3565	1.2768	1.2123	1.1662	1.1523	1.1445	1.1629	1.1959	1.2421	1.2841	1.3173	1.3501
24	"Angola"	5.1773	4.5391	3.9022	3.3052	2.7959	2.4139	2.1552	1.9595	1.8115	1.701	1.614	1.5406	1.4834	1.4333	1.3759	1.3509	1.3252
28	"Antigua and Barbuda"	1.6903	1.5126	1.3791	1.2715	1.1924	1.133	1.1039	1.0808	1.0806	1.0943	1.1057	1.1224	1.1489	1.1757	1.2035	1.22	1.2422
32	"Argentina"	1.9159	1.7214	1.5704	1.4456	1.3432	1.2689	1.2048	1.1619	1.1278	1.1173	1.1122	1.1153	1.1217	1.1304	1.1453	1.1572	1.1731
51	"Armenia"	1.2821	1.1208	0.9982	0.9185	0.8727	0.8506	0.8586	0.8876	0.9289	0.9688	1.0121	1.0508	1.0864	1.1133	1.1411	1.1685	1.1926
533	"Aruba"	1.5198	1.3705	1.259	1.1765	1.1231	1.1108	1.1216	1.1424	1.1786	1.219	1.26	1.2879	1.3167	1.3383	1.3594	1.371	1.3861
36	"Australia"	1.505	1.333	1.2059	1.1067	1.0354	0.9928	0.9733	0.9752	0.998	1.0341	1.0764	1.1067	1.1349	1.1627	1.1936	1.2209	1.2386
40	"Austria"	1.3329	1.3104	1.2984	1.2938	1.29	1.2903	1.292	1.2918	1.2906	1.2864	1.2917	1.2919	1.293	1.2926	1.2953	1.2966	1.2982
31	"Azerbaijan"	1.6968	1.5014	1.3514	1.2347	1.1429	1.0797	1.0392	1.0124	1.0053	1.0086	1.0246	1.0517	1.0778	1.1156	1.155	1.1854	1.2249
44	"Bahamas"	1.4279	1.258	1.1267	1.0255	0.9617	0.9289	0.9165	0.9242	0.9492	0.9846	1.0113	1.0442	1.0714	1.1061	1.1322	1.1491	1.1679
48	"Bahrain"	1.6501	1.4259	1.2479	1.1066	0.9956	0.9146	0.864	0.831	0.8237	0.8269	0.8474	0.8826	0.9145	0.9536	0.9924	1.0356	1.073
50	"Bangladesh"	1.7062	1.4676	1.2811	1.1339	1.0159	0.932	0.8701	0.8385	0.8248	0.8286	0.8454	0.8719	0.9145	0.9587	1.0076	1.0521	1.0922
52	"Barbados"	1.6314	1.5804	1.5494	1.5306	1.5111	1.4957	1.4873	1.4802	1.4751	1.4684	1.4626	1.4617	1.4588	1.4535	1.4504	1.4506	1.4444
112	"Belarus"	1.5276	1.5138	1.5087	1.5086	1.5126	1.5135	1.5177	1.5196	1.5228	1.5194	1.5234	1.5248	1.5264	1.5262	1.525	1.5246	1.5269
56	"Belgium"	1.6273	1.5872	1.5607	1.5423	1.5293	1.5214	1.5156	1.5095	1.5038	1.4995	1.4946	1.4908	1.4881	1.4877	1.4851	1.4794	1.4779
84	"Belize"	2.054	1.7911	1.6011	1.4496	1.3232	1.2249	1.1423	1.0909	1.0384	1.0039	0.9826	0.9715	0.9719	0.9768	0.9929	1.0136	1.0382
204	"Benin"	4.428	3.8824	3.4229	3.0201	2.6839	2.4164	2.2029	2.0163	1.8839	1.7658	1.6684	1.5806	1.5141	1.4588	1.3996	1.3452	1.3094
64	"Bhutan"	1.6419	1.3856	1.1939	1.0483	0.9403	0.8645	0.8226	0.8029	0.7948	0.8095	0.8401	0.8852	0.9366	0.9846	1.0314	1.0794	1.1138
68	"Bolivia (Plurinational State of)"	2.3894	2.0477	1.8152	1.6407	1.5111	1.4114	1.3251	1.2553	1.1988	1.1538	1.1204	1.0923	1.0831	1.0712	1.0634	1.0661	1.069
70	"Bosnia and Herzegovina"	1.1314	1.0301	0.9719	0.9581	0.9808	1.0161	1.0511	1.0809	1.1029	1.1285	1.1505	1.1713	1.1824	1.1943	1.2121	1.2194	1.2312
72	"Botswana"	2.2565	1.9674	1.7531	1.5775	1.4347	1.3099	1.2108	1.1277	1.0659	1.0256	0.9974	0.9891	0.9932	0.9965	1.023	1.0491	1.0706
76	"Brazil"	1.3763	1.1945	1.0589	0.9582	0.8886	0.8427	0.8236	0.8261	0.8496	0.879	0.9183	0.9597	1.0004	1.038	1.0751	1.1119	1.1389
96	"Brunei Darussalam"	1.493	1.299	1.1554	1.0319	0.945	0.8928	0.8662	0.8582	0.858	0.8767	0.9089	0.9515	0.9939	1.0364	1.0748	1.1126	1.1394
100	"Bulgaria"	1.4073	1.402	1.4099	1.4164	1.4295	1.4343	1.4433	1.4461	1.4545	1.455	1.4555	1.4612	1.4623	1.4672	1.467	1.4721	1.4709
854	"Burkina Faso"	4.7606	4.019	3.3243	2.7549	2.3581	2.0867	1.8871	1.7294	1.6234	1.5259	1.4518	1.3872	1.3436	1.2993	1.262	1.2244	1.2033
108	"Burundi"	5.1178	4.3425	3.6238	2.9995	2.5476	2.2375	2.0218	1.8551	1.7305	1.6238	1.5367	1.4749	1.411	1.3659	1.3254	1.2943	1.2662
132	"Cabo Verde"	1.8522	1.5854	1.4088	1.274	1.1619	1.08	1.0156	0.9644	0.9314	0.9168	0.9145	0.9189	0.9329	0.9489	0.9809	1.0127	1.0541
116	"Cambodia"	2.0901	1.7987	1.6099	1.4725	1.3657	1.2779	1.2107	1.1546	1.1056	1.075	1.0529	1.0378	1.0307	1.0298	1.0302	1.0363	1.0447
120	"Cameroon"	4.1557	3.6364	3.2082	2.8444	2.5386	2.2897	2.0901	1.9417	1.8116	1.7076	1.6145	1.5345	1.472	1.4136	1.3629	1.3207	1.2791
124	"Canada"	1.2503	1.0935	0.9771	0.9015	0.8587	0.8526	0.8615	0.9035	0.9589	1.0105	1.0607	1.1012	1.141	1.1651	1.1893	1.2135	1.2322
140	"Central African Republic"	4.2975	3.6092	2.936	2.3735	2.0059	1.7725	1.6079	1.4862	1.3883	1.32	1.2626	1.2207	1.1927	1.164	1.1482	1.1397	1.1356
148	"Chad"	5.3118	4.4199	3.6261	2.9785	2.5096	2.1844	1.9524	1.7803	1.6568	1.5501	1.4731	1.4004	1.3423	1.2901	1.2574	1.2221	1.1931
830	"Channel Islands"	1.3186	1.2793	1.2567	1.2413	1.2285	1.2215	1.2164	1.2085	1.2037	1.1994	1.2	1.1941	1.1932	1.1912	1.1911	1.1906	1.1896
152	"Chile"	1.4373	1.2696	1.1474	1.0547	0.9955	0.9661	0.9475	0.9624	0.9889	1.0273	1.0656	1.1035	1.1384	1.1705	1.1975	1.2278	1.2487
