"country_code"	"name"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
4	"Afghanistan"	4.9213	4.4784	4.1135	3.8086	3.5678	3.3629	3.1961	3.045	2.9209	2.8117	2.7126	2.6153	2.5408	2.4742	2.415	2.3639	2.3257
8	"Albania"	1.9029	1.9578	1.9971	2.028	2.0488	2.0681	2.0841	2.102	2.1142	2.125	2.1335	2.1428	2.1512	2.1589	2.1666	2.1753	2.1809
12	"Algeria"	3.013	2.9358	2.8707	2.817	2.7634	2.7163	2.6717	2.6326	2.5935	2.5664	2.5408	2.5161	2.4921	2.4807	2.4651	2.4596	2.4487
24	"Angola"	5.9835	5.8246	5.6487	5.4722	5.3003	5.1355	4.9801	4.8366	4.7045	4.5837	4.4637	4.3554	4.2461	4.1446	4.0558	3.9595	3.8834
28	"Antigua and Barbuda"	2.3756	2.3945	2.3943	2.3922	2.3875	2.3699	2.3554	2.346	2.3347	2.3244	2.3156	2.3028	2.2948	2.2915	2.2918	2.2864	2.2846
32	"Argentina"	2.6221	2.6714	2.6926	2.7	2.6993	2.6776	2.6624	2.6413	2.617	2.5988	2.5688	2.5471	2.5143	2.4971	2.4675	2.4441	2.4275
51	"Armenia"	1.9173	1.9588	1.9875	2.011	2.0329	2.0475	2.0656	2.0777	2.0904	2.1031	2.1179	2.1251	2.1338	2.1424	2.1501	2.1542	2.1618
533	"Aruba"	1.9781	2.0317	2.0636	2.0896	2.1136	2.1294	2.1463	2.1563	2.1668	2.1806	2.1855	2.1932	2.1994	2.2096	2.2155	2.2197	2.2276
36	"Australia"	2.1583	2.1845	2.1934	2.2	2.2004	2.2032	2.1996	2.2006	2.2071	2.2093	2.2134	2.2154	2.2182	2.218	2.2186	2.222	2.2221
40	"Austria"	1.6936	1.8089	1.8882	1.9457	1.9933	2.0309	2.0622	2.0882	2.1095	2.1285	2.145	2.1594	2.174	2.1806	2.1909	2.1977	2.2057
31	"Azerbaijan"	2.2595	2.2772	2.2878	2.287	2.2844	2.2856	2.2863	2.2845	2.2889	2.2852	2.2834	2.2904	2.2879	2.2895	2.29	2.2915	2.2854
44	"Bahamas"	2.0788	2.1096	2.1222	2.1359	2.1476	2.1484	2.1511	2.157	2.1602	2.1649	2.1704	2.1751	2.1822	2.1843	2.1896	2.1926	2.1965
48	"Bahrain"	2.3414	2.347	2.3257	2.2949	2.2664	2.2426	2.2214	2.2057	2.1942	2.1879	2.1822	2.1829	2.1849	2.1816	2.19	2.1916	2.1928
50	"Bangladesh"	2.4265	2.4101	2.3712	2.3279	2.2908	2.2568	2.2279	2.208	2.1965	2.1918	2.1887	2.1864	2.1857	2.187	2.1874	2.1894	2.194
52	"Barbados"	1.9675	2.0313	2.0748	2.1065	2.1281	2.1507	2.1702	2.1859	2.2003	2.2104	2.2221	2.2292	2.2337	2.2434	2.2496	2.2541	2.2591
112	"Belarus"	1.8884	1.9965	2.0663	2.1189	2.1615	2.1886	2.2138	2.2328	2.2516	2.2678	2.2806	2.2889	2.2983	2.2997	2.3077	2.3108	2.3155
56	"Belgium"	1.9701	2.0411	2.0872	2.1198	2.1482	2.1708	2.189	2.2051	2.2194	2.2293	2.2407	2.2471	2.2559	2.2627	2.2682	2.2704	2.2747
84	"Belize"	2.8432	2.8387	2.798	2.7533	2.7107	2.663	2.6174	2.5718	2.5234	2.4745	2.443	2.4043	2.3722	2.344	2.3208	2.3038	2.2892
204	"Benin"	5.2987	5.1639	5.0064	4.8492	4.6914	4.5546	4.4204	4.2927	4.182	4.082	3.9783	3.8761	3.7883	3.7148	3.6328	3.5638	3.4994
64	"Bhutan"	2.3791	2.3449	2.3016	2.2616	2.2278	2.2056	2.1892	2.1788	2.1723	2.1677	2.165	2.1684	2.1674	2.173	2.1752	2.1764	2.1816
68	"Bolivia (Plurinational State of)"	3.242	3.2235	3.182	3.1261	3.0759	3.0234	2.9781	2.931	2.8921	2.844	2.8071	2.7622	2.7209	2.6761	2.6436	2.6011	2.566
70	"Bosnia and Herzegovina"	1.5664	1.6886	1.7779	1.8419	1.8952	1.9372	1.9719	2.0018	2.0284	2.0472	2.0664	2.0825	2.0995	2.1097	2.1238	2.1329	2.138
72	"Botswana"	3.0443	2.9871	2.9188	2.8481	2.7774	2.7229	2.656	2.6039	2.5457	2.5035	2.4514	2.4091	2.3805	2.3496	2.3264	2.3059	2.2954
76	"Brazil"	2.0342	2.0587	2.0673	2.0729	2.0799	2.0838	2.0913	2.0917	2.1022	2.112	2.1201	2.1255	2.1343	2.1419	2.149	2.1567	2.1635
96	"Brunei Darussalam"	2.0808	2.105	2.1205	2.1299	2.1391	2.1454	2.1526	2.1567	2.1623	2.17	2.1753	2.1794	2.1856	2.1895	2.1914	2.1981	2.1974
100	"Bulgaria"	1.7603	1.8748	1.9528	2.0122	2.0559	2.0914	2.1209	2.1474	2.1634	2.1826	2.1989	2.21	2.2212	2.2276	2.2369	2.241	2.245
854	"Burkina Faso"	5.6557	5.475	5.2892	5.0978	4.9064	4.735	4.5818	4.4321	4.2778	4.1587	4.0434	3.9385	3.8374	3.7383	3.638	3.5709	3.4991
108	"Burundi"	5.9842	5.7881	5.5848	5.3952	5.2025	5.0243	4.8557	4.702	4.5604	4.4209	4.2973	4.1828	4.0706	3.9739	3.8713	3.7918	3.7149
132	"Cabo Verde"	2.6812	2.6559	2.6006	2.5519	2.4978	2.4489	2.4093	2.3657	2.333	2.3015	2.2778	2.2605	2.2437	2.2355	2.2278	2.2181	2.2193
116	"Cambodia"	2.9217	2.9259	2.9065	2.8823	2.8416	2.8023	2.7591	2.7172	2.6775	2.6481	2.6061	2.5706	2.5283	2.4946	2.465	2.4348	2.4075
120	"Cameroon"	5.0488	4.9141	4.7607	4.6144	4.472	4.3432	4.2142	4.1003	3.9839	3.8786	3.7813	3.7014	3.6234	3.5524	3.4698	3.4023	3.343
124	"Canada"	1.8775	1.9225	1.9562	1.9847	2.0101	2.0292	2.0474	2.0603	2.0779	2.0947	2.1059	2.1187	2.1277	2.137	2.1475	2.1568	2.1666
140	"Central African Republic"	5.1988	5.077	4.9185	4.7316	4.5511	4.3753	4.1955	4.0307	3.8916	3.755	3.6321	3.5167	3.4109	3.3281	3.262	3.1904	3.1281
148	"Chad"	6.1986	5.9441	5.6862	5.4418	5.2022	4.9938	4.7946	4.6143	4.436	4.2899	4.1451	4.0145	3.889	3.7978	3.6922	3.5993	3.5114
830	"Channel Islands"	1.6557	1.7452	1.8096	1.8621	1.9097	1.9444	1.9745	2.0059	2.0249	2.0495	2.0682	2.0882	2.1031	2.1186	2.1349	2.1443	2.153
152	"Chile"	2.088	2.1134	2.1225	2.129	2.1346	2.1429	2.1469	2.15	2.158	2.169	2.1736	2.1804	2.1834	2.1909	2.1955	2.1991	2.2028
156	"China"	1.8084	1.8958	1.9547	2.0013	2.0384	2.0681	2.0923	2.1184	2.1332	2.1458	2.1581	2.1741	2.1862	2.1945	2.2063	2.217	2.2216
344	"China, Hong Kong SAR"	1.5192	1.6825	1.7944	1.8817	1.9456	1.9966	2.0365	2.0716	2.1016	2.1231	2.1433	2.1626	2.1749	2.1907	2.2038	2.212	2.2192
446	"China, Macao SAR"	1.5418	1.7202	1.8403	1.9278	1.9955	2.0486	2.0874	2.1215	2.1494	2.1724	2.1919	2.2029	2.2154	2.2276	2.2364	2.2437	2.2516
158	"China, Taiwan Province of China"	1.4034	1.5635	1.68	1.7666	1.8313	1.8811	1.9259	1.9594	1.9905	2.0172	2.0389	2.0559	2.0725	2.0847	2.0989	2.1119	2.1213
170	"Colombia"	2.164	2.1748	2.1719	2.1651	2.1558	2.1536	2.1519	2.1526	2.1569	2.1602	2.1648	2.1649	2.1722	2.1775	2.1814	2.1872	2.1918
174	"Comoros"	4.6938	4.5559	4.4023	4.2597	4.1167	3.9885	3.872	3.7598	3.6621	3.5662	3.482	3.4049	3.3346	3.2735	3.2103	3.1514	3.0999
178	"Congo"	5.0007	4.8942	4.7675	4.6374	4.5031	4.3743	4.264	4.1542	4.0543	3.9674	3.8698	3.7838	3.704	3.6301	3.5633	3.5005	3.4371
188	"Costa Rica"	2.0906	2.1073	2.1117	2.114	2.1162	2.1233	2.1289	2.1338	2.1401	2.1469	2.1551	2.1605	2.1681	2.1707	2.177	2.1819	2.189
384	"Cote d'Ivoire"	5.2426	5.1189	4.9759	4.835	4.7012	4.5813	4.4607	4.351	4.2399	4.1402	4.0575	3.9724	3.8883	3.807	3.7294	3.6689	3.5984
191	"Croatia"	1.7519	1.8121	1.8632	1.9045	1.9417	1.9696	1.997	2.0189	2.0404	2.0583	2.0759	2.0908	2.1036	2.1198	2.1284	2.1368	2.1458
192	"Cuba"	1.8964	1.9604	2.0056	2.0359	2.0613	2.0798	2.1011	2.1188	2.1335	2.1451	2.1552	2.166	2.1726	2.1812	2.1893	2.191	2.1999
531	"Curacao"	2.2345	2.2617	2.2708	2.2767	2.2753	2.28	2.2829	2.2824	2.2835	2.2866	2.2859	2.2891	2.2918	2.2929	2.294	2.2948	2.2962
196	"Cyprus"	1.6387	1.7211	1.7859	1.8415	1.8861	1.924	1.9569	1.9855	2.0072	2.0318	2.0516	2.0685	2.0821	2.0958	2.1095	2.1179	2.1287
203	"Czechia"	1.7444	1.8626	1.9447	2.0031	2.0535	2.0921	2.1218	2.1448	2.164	2.1822	2.1962	2.2095	2.2194	2.2276	2.2351	2.2444	2.2463
408	"Dem. People's Republic of Korea"	2.2263	2.2457	2.2536	2.2493	2.2438	2.2378	2.2367	2.2335	2.2286	2.2224	2.2271	2.2229	2.2188	2.2239	2.2246	2.2302	2.2322
180	"Democratic Republic of the Congo"	6.4192	6.2927	6.1193	5.9005	5.6537	5.3889	5.1328	4.8863	4.6526	4.4395	4.2482	4.0914	3.9317	3.7911	3.673	3.5505	3.4429
208	"Denmark"	1.9309	2.0019	2.048	2.0822	2.1074	2.1295	2.1471	2.1607	2.1718	2.1842	2.1981	2.2042	2.2109	2.2139	2.2168	2.2221	2.2263
262	"Djibouti"	3.1969	3.0869	2.9762	2.8839	2.8006	2.7299	2.6641	2.6042	2.5502	2.4865	2.4404	2.4035	2.3594	2.3315	2.3112	2.2914	2.2754
214	"Dominican Republic"	2.7431	2.7413	2.7105	2.6649	2.61	2.5667	2.5102	2.4606	2.4187	2.3811	2.3429	2.3215	2.2986	2.2841	2.2694	2.2606	2.259
218	"Ecuador"	2.815	2.8261	2.7998	2.7709	2.7342	2.69	2.6406	2.5964	2.5486	2.5129	2.4696	2.4349	2.4039	2.3735	2.3491	2.3259	2.3066
818	"Egypt"	3.5748	3.5382	3.472	3.3938	3.3288	3.2678	3.2005	3.1408	3.0833	3.038	2.9927	2.9422	2.8915	2.8544	2.8132	2.7639	2.7234
222	"El Salvador"	2.4042	2.4114	2.3937	2.3648	2.3365	2.3072	2.285	2.2572	2.2391	2.2284	2.2196	2.2079	2.2063	2.2012	2.1985	2.2003	2.1996
226	"Equatorial Guinea"	5.0226	4.8356	4.635	4.4365	4.2452	4.0754	3.923	3.775	3.6379	3.5296	3.4342	3.337	3.2604	3.1855	3.1239	3.0591	3.0132
232	"Eritrea"	4.4979	4.3608	4.2066	4.0689	3.9324	3.8004	3.6906	3.5804	3.4841	3.4057	3.3275	3.2514	3.1911	3.1338	3.0797	3.0219	2.9709
233	"Estonia"	1.8351	1.936	1.9997	2.0504	2.0867	2.1168	2.1394	2.1568	2.1738	2.1909	2.2027	2.2077	2.2135	2.2253	2.23	2.2335	2.2418
231	"Ethiopia"	4.5376	4.2676	4.0259	3.8108	3.6148	3.4574	3.3122	3.1944	3.0839	2.9799	2.8981	2.8274	2.7505	2.6816	2.6188	2.5661	2.5106
