"country_code"	"name"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
1500	"Low-income countries"	-971.459	-419.296	-516.251	-75.494	-1286.637	-2927.67	-5280.878	-3025.13	940.425	-2070.082	-822.573	-3023.473	-2148.595	-2185.623	-2143.976	-2218.983	-2243.983	-2243.976	-2243.985	-2243.981	-2131.777	-2019.593	-1907.393	-1795.176	-1682.976	-1570.785	-1458.594	-1346.382	-1234.191	-1122.005
947	"Sub-Saharan Africa"	-195.057	-180.002	-283.365	-243.286	-968.088	-952.236	-1358.392	-1228.344	-95.268	-816.47	-544.814	-921.346	-1466.614	-1476.373	-1595.259	-1771.32	-1810.154	-1809.273	-1813.627	-1818.128	-1727.23	-1636.341	-1545.448	-1454.503	-1363.606	-1272.684	-1181.813	-1090.867	-999.991	-909.086
903	"AFRICA"	-568.641	-573.053	-942.757	-1113.445	-2289.961	-1807.7	-1720.692	-1737.216	-341.188	-2447.785	-2094.346	-3351.75	-3277.904	-2310.559	-2229.446	-2355.51	-2394.344	-2393.463	-2397.817	-2402.318	-2282.202	-2162.103	-2042.001	-1921.855	-1801.746	-1681.615	-1561.532	-1441.376	-1321.289	-1201.18
910	"Eastern Africa"	-143.361	-175.118	-227.393	-140.922	-572.407	-470.874	-521.16	-160.141	-2078.469	337.906	-515.694	-726.935	-951.877	-830.063	-851.97	-826.972	-851.972	-851.972	-851.972	-851.972	-809.38	-766.783	-724.19	-681.576	-638.976	-596.387	-553.795	-511.184	-468.591	-425.99
108	"Burundi"	-69.947	-70.048	-84.989	-57.9	-260.594	-150.288	-139.147	-150.768	-302.498	-445.502	50.869	102.069	-70	20	10.003	10.003	10.003	10.003	10.003	10.003	9.502	8.999	8.497	8.003	7.501	7.002	6.502	6.003	5.5	5.005
174	"Comoros"	0	-6.116	-8.491	-5.5	-5.5	10	-4.5	-4.5	-3	-6	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-9.5	-9	-8.5	-8	-7.5	-7	-6.5	-6	-5.5	-5
262	"Djibouti"	0.999	5	18	25	34.997	91.193	9.999	89.998	-45	9.988	-8.997	-1.499	6.002	4.501	4.501	4.501	4.501	4.501	4.501	4.501	4.274	4.051	3.823	3.598	3.377	3.149	2.925	2.698	2.474	2.251
232	"Eritrea"	0.997	3	6.997	4.999	10	10	10	-40	-400.002	-70	110.001	-159.999	-159.999	-49.999	-34.998	-34.998	-34.998	-34.998	-34.998	-34.998	-33.249	-31.498	-29.75	-28	-26.25	-24.5	-22.751	-21	-19.249	-17.5
231	"Ethiopia"	-19.999	-20	-19.999	-42.182	-59.597	-1999.798	250.001	780.074	1475.274	-155.577	-83.182	-50.132	-60.001	-60.001	-60.001	-60.001	-60.001	-60.001	-60.001	-60.001	-56.998	-54.001	-50.997	-47.998	-44.999	-42.002	-39	-35.998	-33.003	-30
404	"Kenya"	0	0	-20	-19.535	-17.915	-2.93	3.805	5.023	221.569	-21.386	25.144	-189.33	-50	-50	-50	-50	-50	-50	-50	-50	-47.5	-45	-42.5	-40	-37.5	-35	-32.5	-30	-27.5	-25
450	"Madagascar"	0	0	0	-8	-19	-30	-10	-10	-9.5	-8.5	-7.5	-7.5	-7.5	-7.5	-7.5	-7.5	-7.5	-7.5	-7.5	-7.5	-7.125	-6.75	-6.375	-6	-5.625	-5.25	-4.875	-4.5	-4.125	-3.75
454	"Malawi"	-33.348	-42.873	-61.928	-61.928	-52.404	-33.348	-28.605	893.196	-938.9	-36.82	-36.82	-36.82	-30	-60	-60	-30	-30	-30	-30	-30	-28.504	-27	-25.504	-23.999	-22.499	-21.003	-19.501	-18	-16.502	-15.008
480	"Mauritius"	2.662	-8.097	-30.869	-29.156	-20.463	-20.617	-21.632	-35.977	-5.611	-8.858	-19.372	-12.079	-12.079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
175	"Mayotte"	2.619	2.459	2.314	0.454	0.496	-0.987	3.794	6.055	10.734	4.664	0.2	-2	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
508	"Mozambique"	-23.5	-23.5	-23.5	-23.5	-23.5	87.373	-373.366	-1300	650	-50	30.004	-40	-25	-25	-25	-25	-25	-25	-25	-25	-23.749	-22.502	-21.253	-19.999	-18.749	-17.502	-16.252	-15.002	-13.75	-12.504
638	"Reunion"	2.545	-3.943	-2.436	12.306	-23.731	-18.024	3.09	-1.996	9.589	9.746	-0.89	-12.422	-14.141	-6.28	-3.141	-3.141	-3.141	-3.141	-3.141	-3.141	-2.985	-2.825	-2.669	-2.513	-2.356	-2.196	-2.042	-1.886	-1.729	-1.568
646	"Rwanda"	0	0	-140.001	20	-20	-20	-50.002	29.999	-1347.866	1210.134	-72.601	-79.101	-79.101	-44.999	-44.999	-44.999	-44.999	-44.999	-44.999	-44.999	-42.749	-40.5	-38.251	-35.998	-33.748	-31.498	-29.252	-27	-24.745	-22.499
690	"Seychelles"	-1.882	-2.168	-0.851	-0.998	0.23	-0.2	-3.099	-5.295	0.625	-0.135	2.513	-2.511	-2.201	-1	-1	-1	-1	-1	-1	-1	-0.952	-0.902	-0.848	-0.8	-0.751	-0.7	-0.653	-0.6	-0.55	-0.5
