"country_code"	"name"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
4	"Afghanistan"	4.0641	3.1352	2.469	2.0819	1.861	1.6994	1.5715	1.4731	1.3927	1.3291	1.2742	1.2339	1.2126	1.2031	1.2006	1.2121	1.2366
8	"Albania"	1.5065	1.3781	1.2757	1.2023	1.1606	1.1528	1.1689	1.1987	1.241	1.2878	1.3319	1.3719	1.4055	1.4374	1.4585	1.4803	1.4987
12	"Algeria"	2.3552	2.1045	1.9258	1.791	1.6866	1.6062	1.5468	1.5111	1.4977	1.4966	1.5086	1.525	1.541	1.5545	1.5662	1.5783	1.5877
24	"Angola"	5.3233	4.8108	4.315	3.8474	3.4325	3.0775	2.7851	2.5439	2.3524	2.1974	2.0749	1.9705	1.8799	1.8093	1.7554	1.707	1.6653
28	"Antigua and Barbuda"	1.81	1.6731	1.5707	1.4982	1.4491	1.4215	1.4079	1.4086	1.4172	1.4309	1.4451	1.4612	1.4781	1.4912	1.5038	1.5155	1.5251
32	"Argentina"	2.0367	1.8822	1.7644	1.6669	1.5907	1.5318	1.4933	1.466	1.4477	1.4393	1.44	1.4464	1.4517	1.462	1.4722	1.4821	1.4929
51	"Armenia"	1.3915	1.2689	1.1822	1.1321	1.1187	1.136	1.1738	1.2168	1.259	1.3005	1.3361	1.3697	1.3981	1.4219	1.446	1.4655	1.4835
533	"Aruba"	1.654	1.5869	1.5372	1.5049	1.4961	1.4935	1.498	1.5094	1.5212	1.5321	1.5431	1.5514	1.5583	1.5666	1.5733	1.5759	1.5823
36	"Australia"	1.6179	1.4869	1.3951	1.3376	1.3086	1.3023	1.3183	1.3412	1.3633	1.392	1.4166	1.4386	1.461	1.4769	1.4939	1.5082	1.5203
40	"Austria"	1.3944	1.3972	1.4057	1.4154	1.4264	1.4338	1.4425	1.4508	1.4578	1.4645	1.4708	1.4776	1.482	1.4849	1.4874	1.4922	1.4943
31	"Azerbaijan"	1.8412	1.6963	1.5812	1.4897	1.4193	1.3751	1.3538	1.3426	1.3491	1.3666	1.3913	1.415	1.4421	1.4648	1.4875	1.5058	1.5217
44	"Bahamas"	1.5416	1.4106	1.3131	1.2503	1.2192	1.2159	1.2312	1.2584	1.2864	1.3161	1.3456	1.374	1.3997	1.4263	1.4462	1.4662	1.4794
48	"Bahrain"	1.771	1.5839	1.4392	1.3174	1.2225	1.1537	1.1094	1.0947	1.1022	1.1266	1.1658	1.2058	1.2467	1.2907	1.3314	1.3708	1.4038
50	"Bangladesh"	1.8313	1.6297	1.4704	1.3423	1.239	1.166	1.1192	1.0994	1.102	1.1246	1.1609	1.203	1.2528	1.3028	1.3434	1.3807	1.4161
52	"Barbados"	1.6887	1.66	1.6424	1.6322	1.6242	1.6176	1.614	1.6102	1.6078	1.6051	1.6034	1.6037	1.6026	1.6023	1.6	1.5976	1.5984
112	"Belarus"	1.5887	1.5972	1.6082	1.6192	1.6284	1.6352	1.6415	1.6477	1.6504	1.6528	1.6546	1.6561	1.6578	1.6591	1.66	1.6606	1.6597
56	"Belgium"	1.6876	1.6659	1.6531	1.6444	1.6425	1.6387	1.6363	1.6376	1.6368	1.6343	1.6329	1.6313	1.6312	1.6305	1.6299	1.6312	1.6295
84	"Belize"	2.1986	1.9719	1.8037	1.6753	1.5667	1.4784	1.4077	1.3587	1.3224	1.301	1.2863	1.2838	1.2919	1.3082	1.331	1.3472	1.3714
204	"Benin"	4.5804	4.1161	3.7154	3.3664	3.0672	2.8107	2.5985	2.4181	2.2663	2.1399	2.0294	1.933	1.8504	1.7815	1.7208	1.672	1.6294
64	"Bhutan"	1.7705	1.551	1.3867	1.2595	1.1561	1.0932	1.0641	1.0535	1.0731	1.1138	1.1657	1.2211	1.2746	1.3227	1.3658	1.4007	1.4304
68	"Bolivia (Plurinational State of)"	2.5428	2.2628	2.0589	1.9009	1.779	1.681	1.6014	1.5383	1.4861	1.4485	1.4182	1.397	1.385	1.3827	1.3784	1.3809	1.3905
70	"Bosnia and Herzegovina"	1.2487	1.2382	1.2428	1.2538	1.2749	1.2975	1.3226	1.3487	1.3749	1.3964	1.4164	1.4344	1.4496	1.4658	1.478	1.4902	1.5019
72	"Botswana"	2.3929	2.1407	1.9529	1.7979	1.6657	1.5601	1.4775	1.4138	1.3666	1.3369	1.3283	1.3249	1.3348	1.3519	1.3722	1.3995	1.4244
76	"Brazil"	1.4899	1.3475	1.2405	1.1616	1.1129	1.0951	1.1028	1.1289	1.1595	1.2036	1.247	1.2899	1.3301	1.3649	1.3939	1.4208	1.4476
96	"Brunei Darussalam"	1.6245	1.4704	1.3535	1.2582	1.1972	1.1611	1.1497	1.1591	1.1851	1.2187	1.2565	1.2973	1.339	1.3765	1.4089	1.4385	1.4657
