"country_code"	"name"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
4	"Afghanistan"	4.7469	4.2288	3.8082	3.4871	3.2233	3.0181	2.8449	2.7005	2.572	2.4616	2.3632	2.2854	2.2175	2.1703	2.1317	2.1073	2.086
8	"Albania"	1.8321	1.87	1.8961	1.9173	1.9339	1.9491	1.9606	1.9716	1.9801	1.989	1.998	2.0044	2.0112	2.0186	2.0242	2.0294	2.0345
12	"Algeria"	2.8991	2.7721	2.6658	2.5775	2.4968	2.4313	2.372	2.3285	2.2897	2.2608	2.2357	2.2161	2.2045	2.1917	2.1804	2.1728	2.1683
24	"Angola"	5.8493	5.6288	5.4075	5.1873	4.9803	4.7857	4.6039	4.4375	4.2781	4.1327	3.9987	3.8688	3.7668	3.6588	3.5567	3.4641	3.3752
28	"Antigua and Barbuda"	2.2566	2.2561	2.2346	2.2132	2.1912	2.1711	2.1511	2.1387	2.1255	2.1185	2.1099	2.1008	2.0971	2.0951	2.0904	2.0904	2.09
32	"Argentina"	2.4974	2.5054	2.49	2.4632	2.433	2.3997	2.366	2.333	2.299	2.268	2.2391	2.2182	2.1972	2.178	2.1631	2.149	2.1396
51	"Armenia"	1.8071	1.8422	1.866	1.8851	1.9	1.9153	1.9291	1.9418	1.9554	1.967	1.9769	1.9869	1.9959	2.0036	2.0091	2.0162	2.0201
533	"Aruba"	1.9122	1.9461	1.969	1.9842	1.9987	2.0088	2.0188	2.0273	2.035	2.0421	2.0475	2.0527	2.0556	2.0605	2.0654	2.0693	2.0711
36	"Australia"	2.0462	2.0595	2.0571	2.0521	2.0492	2.0455	2.042	2.0402	2.0412	2.0397	2.0424	2.0456	2.0476	2.0498	2.0541	2.0559	2.0597
40	"Austria"	1.6284	1.7208	1.7882	1.8408	1.8797	1.9119	1.9375	1.9593	1.9792	1.9945	2.0077	2.018	2.0274	2.0368	2.0456	2.0514	2.0566
