"country_code"	"name"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
4	"Afghanistan"	64.4426	65.6139	66.6411	67.5428	68.352	69.1292	69.8515	70.4977	71.1467	71.7488	72.3302	72.8992	73.427	73.9751	74.5114	75.0647	75.5351
8	"Albania"	79.9742	80.4364	80.9574	81.4943	82.0148	82.5474	83.0627	83.5701	84.0899	84.5889	85.0811	85.5694	86.0577	86.5366	87.0042	87.4995	87.9526
12	"Algeria"	76.8633	77.5836	78.3089	79.0051	79.6806	80.3064	80.9192	81.4992	82.0799	82.6458	83.1809	83.7149	84.2314	84.7197	85.2101	85.7006	86.154
24	"Angola"	63.6469	64.7654	65.799	66.7402	67.6337	68.4222	69.1778	69.8667	70.4881	71.1281	71.7245	72.302	72.829	73.3453	73.8332	74.3437	74.8291
28	"Antigua and Barbuda"	78.2363	78.6594	79.1446	79.6327	80.1149	80.6449	81.1237	81.6276	82.1295	82.6087	83.1195	83.5975	84.0585	84.5372	85.0091	85.4518	85.8944
32	"Argentina"	79.8362	80.2299	80.6786	81.1566	81.6175	82.0982	82.5883	83.0685	83.5401	84.03	84.4968	84.9734	85.4495	85.9131	86.3539	86.8341	87.2879
51	"Armenia"	77.111	77.5914	78.1336	78.6654	79.1693	79.7052	80.2208	80.7333	81.2453	81.7594	82.2324	82.7263	83.2251	83.6835	84.1496	84.5771	85.0157
533	"Aruba"	77.7127	78.0799	78.4971	78.9179	79.3328	79.7688	80.2028	80.625	81.0552	81.4554	81.8451	82.2463	82.6608	83.0319	83.4561	83.8115	84.1868
36	"Australia"	84.4974	84.9005	85.3487	85.8126	86.2845	86.7636	87.2443	87.727	88.2168	88.7038	89.1778	89.6845	90.187	90.6632	91.1659	91.6365	92.1436
40	"Austria"	83.6194	84.0728	84.541	85.0449	85.5282	86.0254	86.5128	87.0187	87.5052	88.0092	88.4836	88.9761	89.453	89.9403	90.412	90.8763	91.3526
31	"Azerbaijan"	74.4076	74.725	75.0764	75.4725	75.8839	76.3176	76.7503	77.2018	77.6127	78.0755	78.5365	78.9848	79.3928	79.8269	80.2845	80.7486	81.1769
44	"Bahamas"	78.0987	78.5072	78.9712	79.4495	79.9247	80.4081	80.8934	81.3695	81.8667	82.338	82.8068	83.28	83.7566	84.1999	84.6824	85.1231	85.5626
