"country_code"	"name"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
4	"Afghanistan"	66.8406	69.2236	71.2002	72.906	74.3287	75.5828	76.7165	77.7277	78.662	79.5719	80.3935	81.1899	81.9528	82.7038	83.3926	84.0957	84.7804
8	"Albania"	81.3116	82.312	83.2178	84.0834	84.8771	85.6528	86.4237	87.152	87.861	88.5878	89.2896	89.9713	90.6534	91.3536	92.0162	92.6747	93.3316
12	"Algeria"	78.4758	79.8462	81.0286	82.0794	83.0611	83.9596	84.8161	85.6323	86.4263	87.1831	87.9114	88.645	89.3391	90.0141	90.7234	91.4275	92.0952
24	"Angola"	65.6918	67.6574	69.3471	70.8863	72.289	73.5073	74.6397	75.658	76.6175	77.468	78.3183	79.0874	79.8404	80.5826	81.2814	81.9548	82.6162
28	"Antigua and Barbuda"	79.6773	80.657	81.5518	82.404	83.1936	83.9523	84.6955	85.3959	86.0869	86.7901	87.4706	88.1506	88.8435	89.5196	90.1915	90.8423	91.502
32	"Argentina"	81.1723	82.0887	82.9329	83.7277	84.474	85.2337	85.9265	86.6272	87.3262	88.0013	88.6775	89.3703	90.0577	90.7239	91.4074	92.0753	92.7407
51	"Armenia"	78.6198	79.6917	80.6629	81.5448	82.3696	83.1558	83.9116	84.6564	85.3742	86.0807	86.7822	87.4575	88.1184	88.7966	89.4613	90.1117	90.7762
533	"Aruba"	79.1729	80.1182	80.9571	81.7452	82.4923	83.1963	83.8793	84.5232	85.1916	85.8543	86.468	87.1054	87.7356	88.36	89.008	89.6292	90.2359
36	"Australia"	85.5771	86.4423	87.2396	88.0107	88.7547	89.4851	90.2048	90.9088	91.6283	92.3096	93.0182	93.6996	94.3965	95.0986	95.7789	96.4354	97.1158
40	"Austria"	84.7377	85.647	86.4852	87.2899	88.0648	88.8346	89.5614	90.2834	91.0011	91.7081	92.3998	93.0965	93.7746	94.4579	95.1258	95.8235	96.4788
31	"Azerbaijan"	75.9986	76.9612	77.8265	78.6146	79.4114	80.1595	80.8657	81.5634	82.2566	82.9269	83.5973	84.2733	84.9374	85.5919	86.2304	86.8761	87.5194
44	"Bahamas"	79.5356	80.5256	81.4316	82.2363	83.0346	83.7772	84.5246	85.2398	85.9329	86.6157	87.2899	87.9837	88.6568	89.332	89.9994	90.6519	91.3007
48	"Bahrain"	78.9509	79.9463	80.832	81.6472	82.4223	83.1724	83.8817	84.576	85.2684	85.9596	86.6448	87.3001	87.9515	88.5797	89.2255	89.8751	90.5021
50	"Bangladesh"	75.7127	77.6429	79.2402	80.6123	81.805	82.8993	83.8783	84.7897	85.6618	86.4875	87.2772	88.0398	88.7709	89.5313	90.2192	90.8873	91.5492
52	"Barbados"	79.1983	80.2017	81.0963	81.9472	82.7501	83.5266	84.2608	84.9778	85.6858	86.3736	87.0566	87.7532	88.4429	89.1032	89.7484	90.4177	91.0731
112	"Belarus"	79.177	80.2013	81.1073	81.937	82.7187	83.4564	84.1619	84.8746	85.5527	86.241	86.8967	87.5614	88.1933	88.855	89.5084	90.1443	90.7471
56	"Belgium"	84.2597	85.154	85.9735	86.7378	87.4921	88.242	88.9735	89.6758	90.3691	91.0722	91.7504	92.4287	93.0931	93.7658	94.4131	95.072	95.7176
84	"Belize"	74.6269	75.8827	76.9789	77.9673	78.8816	79.7291	80.5677	81.3531	82.0885	82.8131	83.5233	84.2127	84.8873	85.5704	86.2028	86.8655	87.4928
204	"Benin"	63.9882	65.781	67.3093	68.6438	69.8611	70.9593	71.9646	72.9288	73.798	74.6304	75.426	76.2136	76.9621	77.6719	78.3676	79.0733	79.764
64	"Bhutan"	72.2187	74.5072	76.3524	77.875	79.1811	80.3645	81.4346	82.3927	83.2746	84.1233	84.9475	85.7249	86.4482	87.1929	87.8989	88.5524	89.2421
68	"Bolivia (Plurinational State of)"	73.2166	75.3591	77.138	78.6175	79.9219	81.0348	82.0598	82.9815	83.8336	84.637	85.3927	86.1045	86.7963	87.4897	88.1298	88.7778	89.3967
70	"Bosnia and Herzegovina"	80.3462	81.403	82.3414	83.2247	84.043	84.8176	85.5631	86.307	87.009	87.7294	88.4249	89.1253	89.7979	90.4826	91.1526	91.814	92.4679
72	"Botswana"	71.5554	73.9792	75.7865	77.1882	78.3796	79.4704	80.4681	81.5303	82.57	83.5547	84.3413	85.0854	85.7651	86.444	87.0527	87.6868	88.298
76	"Brazil"	80.1357	81.3788	82.4502	83.4481	84.3551	85.2394	86.0642	86.8628	87.6379	88.3955	89.1251	89.8266	90.5535	91.2549	91.9494	92.6333	93.299
96	"Brunei Darussalam"	79.9002	80.8819	81.7836	82.6445	83.4202	84.1959	84.9125	85.6254	86.3322	87.0175	87.6931	88.3843	89.0328	89.7045	90.3514	91.0065	91.6415
100	"Bulgaria"	79.1252	80.0307	80.8291	81.5737	82.2857	82.9691	83.6417	84.3026	84.9275	85.5523	86.1844	86.8089	87.4028	88.0215	88.6229	89.217	89.8383
854	"Burkina Faso"	62.8177	65.6437	68.1938	70.429	72.333	74.0358	75.4811	76.7611	77.8861	78.9556	79.9196	80.7856	81.6451	82.4449	83.1797	83.9613	84.6504
108	"Burundi"	61.1956	63.6982	66.0728	68.2973	70.3201	72.162	73.7967	75.2873	76.6052	77.8149	78.8933	79.8566	80.8038	81.6609	82.482	83.2906	83.9867
132	"Cabo Verde"	75.9111	77.2607	78.4072	79.4801	80.4411	81.3361	82.2005	82.9929	83.7511	84.499	85.2192	85.9392	86.6318	87.2988	87.9753	88.6225	89.2891
116	"Cambodia"	72.4795	74.6115	76.383	77.9244	79.2629	80.3945	81.4482	82.4037	83.2707	84.0851	84.8576	85.5776	86.2722	86.9542	87.6365	88.2811	88.9212
120	"Cameroon"	61.0927	64.3949	67.3247	70.0273	72.4565	74.5209	76.4618	78.3773	80.0307	81.2693	82.4152	83.5112	84.5163	85.4743	86.3074	86.9982	87.6527
124	"Canada"	84.9889	85.856	86.6832	87.4634	88.2187	88.9343	89.6625	90.3761	91.0599	91.7351	92.4186	93.1007	93.7656	94.4378	95.103	95.7272	96.3823
140	"Central African Republic"	56.5451	60.1732	63.4824	66.6335	69.5268	72.0632	74.3731	76.4495	78.288	79.9995	81.3148	82.452	83.4882	84.4697	85.4247	86.2568	86.9849
148	"Chad"	55.749	58.066	60.3069	62.4873	64.5759	66.5854	68.4606	70.2643	71.8979	73.3787	74.7254	75.9592	77.0856	78.1544	79.0962	80.0055	80.8643
830	"Channel Islands"	83.5972	84.4338	85.2102	85.9573	86.6854	87.4025	88.1159	88.805	89.4955	90.1761	90.8561	91.5312	92.2135	92.8797	93.5193	94.2104	94.8572
152	"Chile"	82.8274	83.9063	84.852	85.72	86.5391	87.3296	88.1056	88.8553	89.5661	90.302	91.0121	91.6882	92.3795	93.0466	93.6985	94.3709	95.0233
156	"China"	78.8505	79.9164	80.8901	81.785	82.6145	83.4085	84.1706	84.9003	85.6151	86.338	86.9999	87.6894	88.3756	89.0417	89.7137	90.3619	91.0113
344	"China, Hong Kong SAR"	87.6925	88.6294	89.5062	90.3228	91.1264	91.904	92.6711	93.4055	94.1519	94.8816	95.5776	96.2914	97.0063	97.7067	98.3928	99.0862	99.7763
446	"China, Macao SAR"	87.5193	88.5018	89.3978	90.2611	91.0773	91.8713	92.6394	93.4168	94.1507	94.8763	95.6167	96.3104	97.019	97.732	98.4184	99.1226	99.7966
158	"China, Taiwan Province of China"	83.6019	84.5404	85.3922	86.1888	86.9808	87.7378	88.4793	89.1911	89.9031	90.614	91.3079	92.0049	92.686	93.3537	94.0158	94.7086	95.3689
170	"Colombia"	79.0065	80.1068	81.0908	81.9914	82.8557	83.6584	84.4302	85.1843	85.9029	86.6226	87.3177	88.0003	88.6862	89.3632	90.0384	90.7043	91.3686
174	"Comoros"	66.8008	68.4043	69.813	71.0591	72.1905	73.2653	74.2131	75.1229	76.0043	76.8123	77.5726	78.3032	79.0535	79.7885	80.4875	81.1569	81.8187
178	"Congo"	68.1606	70.911	73.2736	75.3952	77.2772	78.7778	80.0622	81.2471	82.3945	83.4492	84.4628	85.3404	86.0671	86.7349	87.4183	88.06	88.6976
188	"Costa Rica"	83.134	84.128	85.0231	85.8822	86.6797	87.4401	88.183	88.9246	89.6262	90.319	91.0019	91.6713	92.348	93.0121	93.6787	94.3339	94.9781
384	"C~A'te d'Ivoire"	57.1821	60.2658	63.0026	65.4111	67.5311	69.3465	70.9072	72.3404	73.6144	74.7666	75.8502	76.8458	77.8366	78.7915	79.6735	80.565	81.3909
191	"Croatia"	81.7387	82.6851	83.5433	84.3442	85.1043	85.8407	86.5589	87.2782	87.9772	88.6588	89.323	89.9934	90.6786	91.3261	91.9734	92.6267	93.2795
192	"Cuba"	82.6483	83.5924	84.4542	85.2723	86.045	86.8043	87.5364	88.2513	88.9641	89.6485	90.3182	91.0032	91.6888	92.3514	93.0189	93.6928	94.3367
531	"Cura~ASSao"	82.0648	83.0085	83.8789	84.6634	85.4223	86.1611	86.886	87.613	88.3008	88.9863	89.6719	90.3541	91.0236	91.6867	92.3468	93.0055	93.6461
196	"Cyprus"	83.4297	84.3216	85.1299	85.9077	86.6534	87.3906	88.1059	88.8195	89.5214	90.218	90.9018	91.5743	92.2421	92.9111	93.5697	94.2301	94.8937
203	"Czechia"	82.4066	83.2769	84.0812	84.8317	85.5742	86.2786	86.9694	87.6583	88.3352	89.0069	89.6703	90.336	90.9776	91.6363	92.3118	92.9572	93.6082
408	"Dem. People's Republic of Korea"	76.2249	77.6484	78.8489	79.893	80.883	81.7816	82.6349	83.4392	84.2006	84.9463	85.6547	86.3642	87.0849	87.7799	88.4547	89.1005	89.7585
180	"Democratic Republic of the Congo"	62.8706	65.6014	68.1834	70.4881	72.5678	74.4288	76.0817	77.4814	78.7631	79.8972	80.9011	81.8154	82.701	83.5305	84.2944	85.0552	85.774
208	"Denmark"	83.39	84.247	85.0404	85.7979	86.537	87.2461	87.9466	88.6425	89.3326	90.0235	90.6969	91.387	92.0378	92.6905	93.3642	94.0261	94.6771
262	"Djibouti"	65.4571	67.0209	68.4115	69.6686	70.8788	71.9929	73.0774	74.1265	75.064	75.9991	76.9061	77.8014	78.6628	79.5402	80.3856	81.2331	82.0498
214	"Dominican Republic"	78.1608	79.3224	80.3578	81.3112	82.1823	83.0242	83.8131	84.5866	85.3212	86.0615	86.75	87.4713	88.1568	88.8385	89.5219	90.1942	90.8341
218	"Ecuador"	80.1703	81.4126	82.492	83.4628	84.3704	85.2155	86.0205	86.8032	87.5829	88.3171	89.0376	89.746	90.4219	91.1186	91.7953	92.4743	93.147
818	"Egypt"	74.9677	76.216	77.3486	78.3597	79.2667	80.1218	80.9498	81.7574	82.5171	83.2502	83.9729	84.6641	85.3305	86.0056	86.6608	87.3753	88.0116
222	"El Salvador"	78.9982	80.3219	81.4699	82.4913	83.4528	84.3402	85.1882	85.9964	86.7789	87.5393	88.2701	88.989	89.6682	90.3959	91.0375	91.7562	92.3986
226	"Equatorial Guinea"	60.6326	63.2815	66.5681	69.8002	72.634	74.975	77.2242	79.1997	80.7322	82.123	83.4842	84.7227	85.8235	86.8025	87.7047	88.6146	89.4585
232	"Eritrea"	69.0825	71.7855	74.0785	76.0327	77.6444	79.0439	80.2951	81.3855	82.3929	83.3375	84.198	84.9943	85.7773	86.5063	87.24	87.9535	88.6285
233	"Estonia"	82.6309	83.6167	84.5041	85.3299	86.1288	86.8891	87.6448	88.3802	89.1014	89.803	90.495	91.1906	91.883	92.5723	93.2389	93.9095	94.5747
231	"Ethiopia"	68.9108	71.455	73.6173	75.4468	77.01	78.3506	79.5016	80.5538	81.5161	82.3939	83.1841	83.9473	84.6893	85.3738	86.0459	86.7028	87.3636
242	"Fiji"	74.5778	75.7214	76.7448	77.6516	78.5321	79.3572	80.1569	80.9036	81.6468	82.3676	83.0771	83.7872	84.4698	85.1082	85.7493	86.4193	87.0479
246	"Finland"	84.9131	85.8143	86.643	87.4346	88.2195	88.9619	89.6843	90.412	91.1249	91.807	92.5042	93.1972	93.8827	94.5857	95.2263	95.898	96.5503
250	"France"	86.2249	87.1315	87.9684	88.7723	89.5296	90.2655	91.0037	91.7378	92.4341	93.1434	93.8524	94.5322	95.2155	95.8853	96.5391	97.2416	97.9024
254	"French Guiana"	83.9888	84.9883	85.9292	86.7894	87.6315	88.4306	89.2247	89.988	90.7292	91.4585	92.1921	92.9052	93.6014	94.2857	94.9874	95.6697	96.3596
258	"French Polynesia"	80.1632	81.2865	82.2665	83.1822	84.0429	84.8677	85.6583	86.4277	87.1808	87.9316	88.6591	89.394	90.0794	90.7646	91.461	92.1121	92.799
266	"Gabon"	69.5199	71.4265	73.533	75.3799	76.9895	78.247	79.396	80.4315	81.4882	82.4643	83.3556	84.1083	84.8175	85.5055	86.1155	86.7264	87.3562
270	"Gambia"	64.0646	65.6993	67.094	68.3358	69.4298	70.4198	71.396	72.2511	73.0959	73.9242	74.6901	75.4309	76.1576	76.8645	77.5498	78.2706	78.9443
268	"Georgia"	78.4808	79.4976	80.4105	81.2403	82.0548	82.8069	83.5426	84.2645	84.963	85.6446	86.344	87.0073	87.6772	88.3503	89.0015	89.6531	90.2896
276	"Germany"	84.1515	85.0171	85.8215	86.6085	87.3587	88.0971	88.8228	89.5379	90.2236	90.9193	91.6104	92.3007	92.9721	93.6238	94.3005	94.9758	95.6281
288	"Ghana"	65.3098	67.3603	69.2267	70.9039	72.415	73.7969	75.0277	76.1436	77.177	78.1585	79.0365	79.9223	80.7327	81.5092	82.2489	82.9495	83.6744
300	"Greece"	84.5691	85.4577	86.2885	87.0735	87.8334	88.5802	89.3101	90.0212	90.7362	91.4309	92.1259	92.8057	93.4955	94.1789	94.8528	95.5105	96.1669
308	"Grenada"	77.1092	78.1302	79.0442	79.897	80.6941	81.4664	82.2092	82.9288	83.6438	84.3295	85.0113	85.6672	86.3448	87.0179	87.6756	88.3344	88.9764
312	"Guadeloupe"	85.3913	86.4459	87.4125	88.2986	89.1582	89.9771	90.7722	91.5446	92.3087	93.054	93.7678	94.4947	95.194	95.8957	96.6048	97.2711	97.9538
316	"Guam"	82.9062	83.9071	84.8165	85.6915	86.5277	87.3319	88.0985	88.8714	89.6074	90.3459	91.0492	91.7514	92.4662	93.1498	93.853	94.5263	95.2024
320	"Guatemala"	77.7639	79.2654	80.5502	81.6788	82.6845	83.6412	84.5317	85.3603	86.1672	86.9436	87.7093	88.4467	89.1639	89.8521	90.5728	91.2523	91.9313
324	"Guinea"	62.7774	66.3802	69.5862	72.3123	74.5669	76.4207	78.0059	79.3249	80.5136	81.5713	82.5713	83.4715	84.2906	85.0958	85.8477	86.5816	87.26
624	"Guinea-Bissau"	60.9255	63.5485	65.9721	68.1957	70.2274	72.0726	73.7186	75.1945	76.528	77.6934	78.7451	79.7215	80.6422	81.4893	82.3114	83.0984	83.8587
328	"Guyana"	70.1775	71.2171	72.1363	73.0534	73.8979	74.6914	75.4825	76.2459	77.0028	77.7568	78.4875	79.2157	79.9549	80.6859	81.4085	82.1347	82.8566
332	"Haiti"	67.0121	68.9061	70.616	72.0958	73.4451	74.6663	75.773	76.7868	77.7418	78.614	79.4822	80.2913	81.0279	81.7758	82.5007	83.2008	83.8811
340	"Honduras"	77.2676	78.5281	79.6234	80.6027	81.4891	82.3493	83.1461	83.9375	84.6599	85.3751	86.0955	86.7782	87.4584	88.1387	88.7905	89.4705	90.113
348	"Hungary"	80.171	81.0676	81.8818	82.6323	83.3551	84.064	84.7693	85.4263	86.0767	86.7457	87.4094	88.044	88.7119	89.3622	89.9927	90.6322	91.2805
352	"Iceland"	84.9693	85.8125	86.6059	87.3545	88.073	88.7731	89.4651	90.1482	90.8193	91.494	92.1738	92.8144	93.4596	94.1143	94.7529	95.395	96.0429
356	"India"	71.535	73.2903	74.7467	76.0157	77.1924	78.2538	79.234	80.1558	81.0259	81.8469	82.6235	83.36	84.0784	84.7857	85.4806	86.1692	86.8182
360	"Indonesia"	72.5743	73.8079	74.9034	75.9058	76.8174	77.6921	78.5234	79.3012	80.0544	80.7782	81.5188	82.1958	82.8937	83.5519	84.2141	84.8554	85.4992
364	"Iran (Islamic Republic of)"	78.239	79.6286	80.8437	81.9179	82.9252	83.8306	84.6968	85.5303	86.3407	87.0908	87.8425	88.595	89.3013	90.0133	90.6961	91.3903	92.0728
368	"Iraq"	73.3637	74.6228	75.7166	76.6888	77.5928	78.4575	79.2591	80.0365	80.7944	81.5249	82.2175	82.9041	83.6055	84.2933	84.9312	85.5849	86.2286
372	"Ireland"	84.2361	85.1316	85.9689	86.7784	87.5564	88.3147	89.057	89.7863	90.4956	91.1913	91.8972	92.5897	93.2484	93.941	94.6003	95.293	95.9631
